backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,147.006,201222000,0.160978,0,1
CRoaring,100000000,100,OR,11.7991,0,0,2000000,1
CRoaring,100000000,100,AND,1.62911,0,0,0,1
CRoaring,100000000,100,XOR,5.37789,0,0,2000000,1
CRoaring,100000000,100,multi-OR,201.712,0,0,100000000,1
CRoaring,100000000,100,OR_op,2.08199,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.374009,0,0,1000000,1
CRoaring,100000000,100,XOR_op,2.29097,0,0,2000000,1
CRoaring,100000000,100,NOT_op,1.67269,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,3.51958,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,1.50125,0,0,1000000,1
CRoaring,100000000,100,XOR_op_conv,3.71274,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,3.09644,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,7.39272,0,0,99000000,1
CRoaring,100000000,100,COMP_op,8.89534,0,0,0,1
