backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,5.08559,1138163,0.00091053,0,1
CRoaring,100000000,100,OR,3.63648,0,0,2000000,1
CRoaring,100000000,100,AND,2.85217,0,0,0,1
CRoaring,100000000,100,XOR,0.701667,0,0,2000000,1
CRoaring,100000000,100,multi-OR,16.9111,0,0,100000000,1
CRoaring,100000000,100,OR_op,0.071701,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.053745,0,0,1000000,1
CRoaring,100000000,100,XOR_op,0.076335,0,0,2000000,1
CRoaring,100000000,100,NOT_op,0.20472,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,0.578075,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,0.545114,0,0,1000000,1
CRoaring,100000000,100,XOR_op_conv,0.580724,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,1.21185,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,0.352438,0,0,99000000,1
CRoaring,100000000,100,COMP_op,1.3732,0,0,0,1
