backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,0.496529,23775,1.902e-05,0,1
CRoaring,100000000,100,OR,0.113077,0,0,2000000,1
CRoaring,100000000,100,AND,4.3532,0,0,0,1
CRoaring,100000000,100,XOR,0.498166,0,0,2000000,1
CRoaring,100000000,100,multi-OR,5.14893,0,0,100000000,1
CRoaring,100000000,100,OR_op,0.000672,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.001308,0,0,1000000,1
CRoaring,100000000,100,XOR_op,0.001442,0,0,2000000,1
CRoaring,100000000,100,NOT_op,0.071347,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,0.482804,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,0.478871,0,0,1000000,1
CRoaring,100000000,100,XOR_op_conv,0.481973,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,1.07452,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,0.070856,0,0,99000000,1
CRoaring,100000000,100,COMP_op,1.07537,0,0,0,1
