backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,1311,load,8.42727,16526250,0.66105,0,1
CRoaring,100000000,1311,OR,7.21571,0,0,51001694,1
CRoaring,100000000,1311,AND,2.93156,0,0,998719,1
CRoaring,100000000,1311,XOR,6.62772,0,0,50002975,1
CRoaring,100000000,1311,load,4.03481,16526250,0.66105,0,2
CRoaring,100000000,1311,OR,3.70577,0,0,51001694,2
CRoaring,100000000,1311,AND,2.77746,0,0,998719,2
CRoaring,100000000,1311,XOR,5.30484,0,0,50002975,2
CRoaring,100000000,1311,load,3.82436,16526250,0.66105,0,3
CRoaring,100000000,1311,OR,3.6836,0,0,51001694,3
CRoaring,100000000,1311,AND,2.76895,0,0,998719,3
CRoaring,100000000,1311,XOR,5.32079,0,0,50002975,3
CRoaring,100000000,1311,load,3.80443,16526250,0.66105,0,4
CRoaring,100000000,1311,OR,3.70574,0,0,51001694,4
CRoaring,100000000,1311,AND,2.76963,0,0,998719,4
CRoaring,100000000,1311,XOR,5.31855,0,0,50002975,4
CRoaring,100000000,1311,load,3.84858,16526250,0.66105,0,5
CRoaring,100000000,1311,OR,3.71826,0,0,51001694,5
CRoaring,100000000,1311,AND,2.79247,0,0,998719,5
CRoaring,100000000,1311,XOR,5.31224,0,0,50002975,5
CRoaring,100000000,1311,load,3.69218,16526250,0.66105,0,6
CRoaring,100000000,1311,OR,3.67662,0,0,51001694,6
CRoaring,100000000,1311,AND,2.90843,0,0,998719,6
CRoaring,100000000,1311,XOR,5.40262,0,0,50002975,6
CRoaring,100000000,1311,load,3.83322,16526250,0.66105,0,7
CRoaring,100000000,1311,OR,3.78654,0,0,51001694,7
CRoaring,100000000,1311,AND,2.77253,0,0,998719,7
CRoaring,100000000,1311,XOR,5.30601,0,0,50002975,7
CRoaring,100000000,1311,load,3.73019,16526250,0.66105,0,8
CRoaring,100000000,1311,OR,3.68021,0,0,51001694,8
CRoaring,100000000,1311,AND,2.89684,0,0,998719,8
CRoaring,100000000,1311,XOR,5.40503,0,0,50002975,8
CRoaring,100000000,1311,load,3.82378,16526250,0.66105,0,9
CRoaring,100000000,1311,OR,3.76402,0,0,51001694,9
CRoaring,100000000,1311,AND,2.79442,0,0,998719,9
CRoaring,100000000,1311,XOR,5.32485,0,0,50002975,9
CRoaring,100000000,1311,load,3.73987,16526250,0.66105,0,10
CRoaring,100000000,1311,OR,3.6743,0,0,51001694,10
CRoaring,100000000,1311,AND,2.90287,0,0,998719,10
CRoaring,100000000,1311,XOR,5.3916,0,0,50002975,10
CRoaring,100000000,1311,load,3.84067,16526250,0.66105,0,11
CRoaring,100000000,1311,OR,3.71832,0,0,51001694,11
CRoaring,100000000,1311,AND,2.77961,0,0,998719,11
CRoaring,100000000,1311,XOR,5.30595,0,0,50002975,11
CRoaring,100000000,1311,load,3.76464,16526250,0.66105,0,12
CRoaring,100000000,1311,OR,3.68061,0,0,51001694,12
CRoaring,100000000,1311,AND,2.78283,0,0,998719,12
CRoaring,100000000,1311,XOR,5.29987,0,0,50002975,12
CRoaring,100000000,1311,load,3.78376,16526250,0.66105,0,13
CRoaring,100000000,1311,OR,3.70394,0,0,51001694,13
CRoaring,100000000,1311,AND,2.77891,0,0,998719,13
CRoaring,100000000,1311,XOR,5.32997,0,0,50002975,13
CRoaring,100000000,1311,load,3.84409,16526250,0.66105,0,14
CRoaring,100000000,1311,OR,3.75334,0,0,51001694,14
CRoaring,100000000,1311,AND,2.77041,0,0,998719,14
CRoaring,100000000,1311,XOR,5.34907,0,0,50002975,14
CRoaring,100000000,1311,load,3.7193,16526250,0.66105,0,15
CRoaring,100000000,1311,OR,3.77496,0,0,51001694,15
CRoaring,100000000,1311,AND,2.7814,0,0,998719,15
CRoaring,100000000,1311,XOR,5.30174,0,0,50002975,15
CRoaring,100000000,1311,load,3.78643,16526250,0.66105,0,16
CRoaring,100000000,1311,OR,3.67577,0,0,51001694,16
CRoaring,100000000,1311,AND,2.77615,0,0,998719,16
CRoaring,100000000,1311,XOR,5.31718,0,0,50002975,16
CRoaring,100000000,1311,load,3.86397,16526250,0.66105,0,17
