backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,12,load,21.7575,32806962,1.00124,0,1
CRoaring,21844315,12,OR,1.53013,0,0,3666013,1
CRoaring,21844315,12,AND,0.532865,0,0,0,1
CRoaring,21844315,12,XOR,1.71838,0,0,3666013,1
CRoaring,21844315,12,multi-OR,4.37516,0,0,21844315,1
CRoaring,21844315,12,load,10.9805,32806962,1.00124,0,2
CRoaring,21844315,12,OR,0.683975,0,0,3666013,2
CRoaring,21844315,12,AND,0.47774,0,0,0,2
CRoaring,21844315,12,XOR,0.638301,0,0,3666013,2
CRoaring,21844315,12,multi-OR,3.98133,0,0,21844315,2
CRoaring,21844315,12,load,9.42777,32806962,1.00124,0,3
CRoaring,21844315,12,OR,0.639556,0,0,3666013,3
CRoaring,21844315,12,AND,0.47708,0,0,0,3
CRoaring,21844315,12,XOR,0.642292,0,0,3666013,3
CRoaring,21844315,12,multi-OR,3.84635,0,0,21844315,3
CRoaring,21844315,12,load,8.08849,32806962,1.00124,0,4
CRoaring,21844315,12,OR,0.680266,0,0,3666013,4
CRoaring,21844315,12,AND,0.498837,0,0,0,4
CRoaring,21844315,12,XOR,0.656072,0,0,3666013,4
CRoaring,21844315,12,multi-OR,3.81275,0,0,21844315,4
CRoaring,21844315,12,load,8.17121,32806962,1.00124,0,5
CRoaring,21844315,12,OR,0.652103,0,0,3666013,5
CRoaring,21844315,12,AND,0.507736,0,0,0,5
CRoaring,21844315,12,XOR,0.642274,0,0,3666013,5
CRoaring,21844315,12,multi-OR,3.89092,0,0,21844315,5
CRoaring,21844315,12,load,8.06189,32806962,1.00124,0,6
CRoaring,21844315,12,OR,0.678796,0,0,3666013,6
CRoaring,21844315,12,AND,0.518371,0,0,0,6
CRoaring,21844315,12,XOR,0.658884,0,0,3666013,6
CRoaring,21844315,12,multi-OR,3.81251,0,0,21844315,6
CRoaring,21844315,12,load,7.94388,32806962,1.00124,0,7
CRoaring,21844315,12,OR,0.651656,0,0,3666013,7
CRoaring,21844315,12,AND,0.524506,0,0,0,7
CRoaring,21844315,12,XOR,0.645882,0,0,3666013,7
CRoaring,21844315,12,multi-OR,3.83728,0,0,21844315,7
CRoaring,21844315,12,load,8.39639,32806962,1.00124,0,8
CRoaring,21844315,12,OR,0.66722,0,0,3666013,8
CRoaring,21844315,12,AND,0.520754,0,0,0,8
CRoaring,21844315,12,XOR,0.667781,0,0,3666013,8
CRoaring,21844315,12,multi-OR,3.85966,0,0,21844315,8
CRoaring,21844315,12,load,8.07964,32806962,1.00124,0,9
CRoaring,21844315,12,OR,0.666964,0,0,3666013,9
CRoaring,21844315,12,AND,0.513107,0,0,0,9
CRoaring,21844315,12,XOR,0.639268,0,0,3666013,9
CRoaring,21844315,12,multi-OR,3.81742,0,0,21844315,9
CRoaring,21844315,12,load,7.98602,32806962,1.00124,0,10
CRoaring,21844315,12,OR,0.674807,0,0,3666013,10
CRoaring,21844315,12,AND,0.53622,0,0,0,10
CRoaring,21844315,12,XOR,0.705713,0,0,3666013,10
CRoaring,21844315,12,multi-OR,3.92502,0,0,21844315,10
CRoaring,21844315,12,load,8.06457,32806962,1.00124,0,11
CRoaring,21844315,12,OR,0.66977,0,0,3666013,11
CRoaring,21844315,12,AND,0.507837,0,0,0,11
CRoaring,21844315,12,XOR,0.635264,0,0,3666013,11
CRoaring,21844315,12,multi-OR,3.86632,0,0,21844315,11
CRoaring,21844315,12,load,8.13256,32806962,1.00124,0,12
CRoaring,21844315,12,OR,0.655595,0,0,3666013,12
CRoaring,21844315,12,AND,0.472231,0,0,0,12
CRoaring,21844315,12,XOR,0.634979,0,0,3666013,12
CRoaring,21844315,12,multi-OR,3.8094,0,0,21844315,12
CRoaring,21844315,12,load,8.07714,32806962,1.00124,0,13
CRoaring,21844315,12,OR,0.656717,0,0,3666013,13
CRoaring,21844315,12,AND,0.46095,0,0,0,13
CRoaring,21844315,12,XOR,0.648,0,0,3666013,13
CRoaring,21844315,12,multi-OR,3.79857,0,0,21844315,13
CRoaring,21844315,12,load,8.22341,32806962,1.00124,0,14
CRoaring,21844315,12,OR,0.658353,0,0,3666013,14
CRoaring,21844315,12,AND,0.517559,0,0,0,14
CRoaring,21844315,12,XOR,0.636385,0,0,3666013,14
CRoaring,21844315,12,multi-OR,3.79894,0,0,21844315,14
CRoaring,21844315,12,load,7.89129,32806962,1.00124,0,15
CRoaring,21844315,12,OR,0.641284,0,0,3666013,15
CRoaring,21844315,12,AND,0.521818,0,0,0,15
CRoaring,21844315,12,XOR,0.643115,0,0,3666013,15
CRoaring,21844315,12,multi-OR,3.87128,0,0,21844315,15
CRoaring,21844315,12,load,7.99814,32806962,1.00124,0,16
CRoaring,21844315,12,OR,0.661508,0,0,3666013,16
CRoaring,21844315,12,AND,0.51116,0,0,0,16
CRoaring,21844315,12,XOR,0.642726,0,0,3666013,16
CRoaring,21844315,12,multi-OR,3.82877,0,0,21844315,16
CRoaring,21844315,12,load,8.22671,32806962,1.00124,0,17
CRoaring,21844315,12,OR,0.638681,0,0,3666013,17
CRoaring,21844315,12,AND,0.49329,0,0,0,17
CRoaring,21844315,12,XOR,0.643055,0,0,3666013,17
CRoaring,21844315,12,multi-OR,3.80717,0,0,21844315,17
CRoaring,21844315,12,load,8.08924,32806962,1.00124,0,18
CRoaring,21844315,12,OR,0.653258,0,0,3666013,18
CRoaring,21844315,12,AND,0.529257,0,0,0,18
CRoaring,21844315,12,XOR,0.650189,0,0,3666013,18
CRoaring,21844315,12,multi-OR,3.82965,0,0,21844315,18
CRoaring,21844315,12,load,8.16597,32806962,1.00124,0,19
CRoaring,21844315,12,OR,0.65439,0,0,3666013,19
CRoaring,21844315,12,AND,0.498835,0,0,0,19
CRoaring,21844315,12,XOR,0.664656,0,0,3666013,19
CRoaring,21844315,12,multi-OR,3.86671,0,0,21844315,19
CRoaring,21844315,12,load,7.89611,32806962,1.00124,0,20
CRoaring,21844315,12,OR,0.654375,0,0,3666013,20
CRoaring,21844315,12,AND,0.513285,0,0,0,20
CRoaring,21844315,12,XOR,0.646245,0,0,3666013,20
CRoaring,21844315,12,multi-OR,4.0741,0,0,21844315,20
CRoaring,21844315,12,load,8.18568,32806962,1.00124,0,21
CRoaring,21844315,12,OR,0.650022,0,0,3666013,21
CRoaring,21844315,12,AND,0.535882,0,0,0,21
CRoaring,21844315,12,XOR,0.639826,0,0,3666013,21
CRoaring,21844315,12,multi-OR,3.80284,0,0,21844315,21
CRoaring,21844315,12,load,7.95959,32806962,1.00124,0,22
CRoaring,21844315,12,OR,0.642921,0,0,3666013,22
CRoaring,21844315,12,AND,0.493604,0,0,0,22
CRoaring,21844315,12,XOR,0.644352,0,0,3666013,22
CRoaring,21844315,12,multi-OR,3.86492,0,0,21844315,22
CRoaring,21844315,12,load,8.08701,32806962,1.00124,0,23
CRoaring,21844315,12,OR,0.654241,0,0,3666013,23
CRoaring,21844315,12,AND,0.531784,0,0,0,23
CRoaring,21844315,12,XOR,0.665378,0,0,3666013,23
CRoaring,21844315,12,multi-OR,3.81118,0,0,21844315,23
CRoaring,21844315,12,load,8.05265,32806962,1.00124,0,24
CRoaring,21844315,12,OR,0.660282,0,0,3666013,24
CRoaring,21844315,12,AND,0.487885,0,0,0,24
CRoaring,21844315,12,XOR,0.648385,0,0,3666013,24
CRoaring,21844315,12,multi-OR,3.81835,0,0,21844315,24
CRoaring,21844315,12,load,8.1261,32806962,1.00124,0,25
CRoaring,21844315,12,OR,0.675406,0,0,3666013,25
CRoaring,21844315,12,AND,0.46035,0,0,0,25
CRoaring,21844315,12,XOR,0.640206,0,0,3666013,25
CRoaring,21844315,12,multi-OR,3.80549,0,0,21844315,25
CRoaring,21844315,12,load,8.01258,32806962,1.00124,0,26
CRoaring,21844315,12,OR,0.673729,0,0,3666013,26
CRoaring,21844315,12,AND,0.525189,0,0,0,26
CRoaring,21844315,12,XOR,0.642109,0,0,3666013,26
CRoaring,21844315,12,multi-OR,3.81739,0,0,21844315,26
CRoaring,21844315,12,load,8.04264,32806962,1.00124,0,27
CRoaring,21844315,12,OR,0.675657,0,0,3666013,27
CRoaring,21844315,12,AND,0.523495,0,0,0,27
CRoaring,21844315,12,XOR,0.634248,0,0,3666013,27
CRoaring,21844315,12,multi-OR,3.81572,0,0,21844315,27
CRoaring,21844315,12,load,7.97591,32806962,1.00124,0,28
CRoaring,21844315,12,OR,0.699703,0,0,3666013,28
CRoaring,21844315,12,AND,0.499422,0,0,0,28
CRoaring,21844315,12,XOR,0.627876,0,0,3666013,28
CRoaring,21844315,12,multi-OR,4.23744,0,0,21844315,28
CRoaring,21844315,12,load,8.42589,32806962,1.00124,0,29
CRoaring,21844315,12,OR,0.66657,0,0,3666013,29
CRoaring,21844315,12,AND,0.483048,0,0,0,29
CRoaring,21844315,12,XOR,0.646587,0,0,3666013,29
CRoaring,21844315,12,multi-OR,3.79992,0,0,21844315,29
CRoaring,21844315,12,load,7.99335,32806962,1.00124,0,30
CRoaring,21844315,12,OR,0.684787,0,0,3666013,30
CRoaring,21844315,12,AND,0.591726,0,0,0,30
CRoaring,21844315,12,XOR,0.662593,0,0,3666013,30
CRoaring,21844315,12,multi-OR,3.82065,0,0,21844315,30
CRoaring,21844315,12,load,7.94483,32806962,1.00124,0,31
CRoaring,21844315,12,OR,0.6541,0,0,3666013,31
CRoaring,21844315,12,AND,0.536463,0,0,0,31
CRoaring,21844315,12,XOR,0.655385,0,0,3666013,31
CRoaring,21844315,12,multi-OR,3.78849,0,0,21844315,31
CRoaring,21844315,12,load,7.86441,32806962,1.00124,0,32
CRoaring,21844315,12,OR,0.662724,0,0,3666013,32
CRoaring,21844315,12,AND,0.517674,0,0,0,32
CRoaring,21844315,12,XOR,0.635185,0,0,3666013,32
CRoaring,21844315,12,multi-OR,3.786,0,0,21844315,32
CRoaring,21844315,12,load,7.95766,32806962,1.00124,0,33
CRoaring,21844315,12,OR,0.689019,0,0,3666013,33
CRoaring,21844315,12,AND,0.49706,0,0,0,33
CRoaring,21844315,12,XOR,0.649238,0,0,3666013,33
CRoaring,21844315,12,multi-OR,3.81896,0,0,21844315,33
CRoaring,21844315,12,load,8.0467,32806962,1.00124,0,34
CRoaring,21844315,12,OR,0.699305,0,0,3666013,34
CRoaring,21844315,12,AND,0.493405,0,0,0,34
CRoaring,21844315,12,XOR,0.648348,0,0,3666013,34
CRoaring,21844315,12,multi-OR,3.81478,0,0,21844315,34
CRoaring,21844315,12,load,8.09141,32806962,1.00124,0,35
CRoaring,21844315,12,OR,0.652399,0,0,3666013,35
CRoaring,21844315,12,AND,0.474491,0,0,0,35
CRoaring,21844315,12,XOR,0.637291,0,0,3666013,35
CRoaring,21844315,12,multi-OR,3.81764,0,0,21844315,35
CRoaring,21844315,12,load,8.06127,32806962,1.00124,0,36
CRoaring,21844315,12,OR,0.661641,0,0,3666013,36
CRoaring,21844315,12,AND,0.525339,0,0,0,36
CRoaring,21844315,12,XOR,0.639893,0,0,3666013,36
CRoaring,21844315,12,multi-OR,3.84369,0,0,21844315,36
CRoaring,21844315,12,load,8.00964,32806962,1.00124,0,37
CRoaring,21844315,12,OR,0.65466,0,0,3666013,37
CRoaring,21844315,12,AND,0.530533,0,0,0,37
CRoaring,21844315,12,XOR,0.65884,0,0,3666013,37
CRoaring,21844315,12,multi-OR,3.79716,0,0,21844315,37
CRoaring,21844315,12,load,8.11974,32806962,1.00124,0,38
CRoaring,21844315,12,OR,0.651485,0,0,3666013,38
CRoaring,21844315,12,AND,0.536187,0,0,0,38
CRoaring,21844315,12,XOR,0.639697,0,0,3666013,38
CRoaring,21844315,12,multi-OR,3.78309,0,0,21844315,38
CRoaring,21844315,12,load,8.08432,32806962,1.00124,0,39
CRoaring,21844315,12,OR,0.637764,0,0,3666013,39
CRoaring,21844315,12,AND,0.493158,0,0,0,39
CRoaring,21844315,12,XOR,0.644155,0,0,3666013,39
CRoaring,21844315,12,multi-OR,3.8162,0,0,21844315,39
CRoaring,21844315,12,load,7.8541,32806962,1.00124,0,40
CRoaring,21844315,12,OR,0.66179,0,0,3666013,40
CRoaring,21844315,12,AND,0.490811,0,0,0,40
CRoaring,21844315,12,XOR,0.634799,0,0,3666013,40
CRoaring,21844315,12,multi-OR,3.86946,0,0,21844315,40
CRoaring,21844315,12,load,8.15317,32806962,1.00124,0,41
CRoaring,21844315,12,OR,0.668143,0,0,3666013,41
CRoaring,21844315,12,AND,0.525112,0,0,0,41
CRoaring,21844315,12,XOR,0.631276,0,0,3666013,41
CRoaring,21844315,12,multi-OR,3.79719,0,0,21844315,41
CRoaring,21844315,12,load,8.07404,32806962,1.00124,0,42
CRoaring,21844315,12,OR,0.672641,0,0,3666013,42
CRoaring,21844315,12,AND,0.525416,0,0,0,42
CRoaring,21844315,12,XOR,0.640124,0,0,3666013,42
CRoaring,21844315,12,multi-OR,3.8194,0,0,21844315,42
CRoaring,21844315,12,load,7.98726,32806962,1.00124,0,43
CRoaring,21844315,12,OR,0.668991,0,0,3666013,43
CRoaring,21844315,12,AND,0.522327,0,0,0,43
CRoaring,21844315,12,XOR,0.630129,0,0,3666013,43
CRoaring,21844315,12,multi-OR,3.85848,0,0,21844315,43
CRoaring,21844315,12,load,7.9669,32806962,1.00124,0,44
CRoaring,21844315,12,OR,0.657974,0,0,3666013,44
CRoaring,21844315,12,AND,0.503078,0,0,0,44
CRoaring,21844315,12,XOR,0.646409,0,0,3666013,44
CRoaring,21844315,12,multi-OR,3.92428,0,0,21844315,44
CRoaring,21844315,12,load,7.7513,32806962,1.00124,0,45
CRoaring,21844315,12,OR,0.644943,0,0,3666013,45
CRoaring,21844315,12,AND,0.493309,0,0,0,45
CRoaring,21844315,12,XOR,0.646774,0,0,3666013,45
CRoaring,21844315,12,multi-OR,3.81829,0,0,21844315,45
CRoaring,21844315,12,load,7.83538,32806962,1.00124,0,46
CRoaring,21844315,12,OR,0.646639,0,0,3666013,46
CRoaring,21844315,12,AND,0.524079,0,0,0,46
CRoaring,21844315,12,XOR,0.641813,0,0,3666013,46
CRoaring,21844315,12,multi-OR,3.8006,0,0,21844315,46
CRoaring,21844315,12,load,7.9799,32806962,1.00124,0,47
CRoaring,21844315,12,OR,0.672763,0,0,3666013,47
CRoaring,21844315,12,AND,0.459936,0,0,0,47
CRoaring,21844315,12,XOR,0.630185,0,0,3666013,47
CRoaring,21844315,12,multi-OR,3.81521,0,0,21844315,47
CRoaring,21844315,12,load,8.0025,32806962,1.00124,0,48
CRoaring,21844315,12,OR,0.670025,0,0,3666013,48
CRoaring,21844315,12,AND,0.566096,0,0,0,48
CRoaring,21844315,12,XOR,0.646098,0,0,3666013,48
CRoaring,21844315,12,multi-OR,3.85682,0,0,21844315,48
CRoaring,21844315,12,load,7.82639,32806962,1.00124,0,49
CRoaring,21844315,12,OR,0.645972,0,0,3666013,49
CRoaring,21844315,12,AND,0.533885,0,0,0,49
CRoaring,21844315,12,XOR,0.636998,0,0,3666013,49
CRoaring,21844315,12,multi-OR,3.79182,0,0,21844315,49
CRoaring,21844315,12,load,7.97151,32806962,1.00124,0,50
CRoaring,21844315,12,OR,0.673378,0,0,3666013,50
CRoaring,21844315,12,AND,0.524461,0,0,0,50
CRoaring,21844315,12,XOR,0.646962,0,0,3666013,50
CRoaring,21844315,12,multi-OR,3.79633,0,0,21844315,50
CRoaring,21844315,12,load,7.95576,32806962,1.00124,0,51
CRoaring,21844315,12,OR,0.665188,0,0,3666013,51
CRoaring,21844315,12,AND,0.523268,0,0,0,51
CRoaring,21844315,12,XOR,0.656508,0,0,3666013,51
CRoaring,21844315,12,multi-OR,3.80195,0,0,21844315,51
CRoaring,21844315,12,load,8.04544,32806962,1.00124,0,52
CRoaring,21844315,12,OR,0.660535,0,0,3666013,52
CRoaring,21844315,12,AND,0.516051,0,0,0,52
CRoaring,21844315,12,XOR,0.631561,0,0,3666013,52
