backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,33,load,0.849118,1067515,0.0118471,0,1
CRoaring,21844315,33,OR,2.18526,0,0,5648823,1
CRoaring,21844315,33,AND,0.269644,0,0,0,1
CRoaring,21844315,33,XOR,0.768249,0,0,5648823,1
CRoaring,21844315,33,multi-OR,3.16046,0,0,21844315,1
CRoaring,21844315,33,load,0.725965,1067515,0.0118471,0,2
CRoaring,21844315,33,OR,0.670206,0,0,5648823,2
CRoaring,21844315,33,AND,0.23412,0,0,0,2
CRoaring,21844315,33,XOR,0.701185,0,0,5648823,2
CRoaring,21844315,33,multi-OR,3.11906,0,0,21844315,2
CRoaring,21844315,33,load,0.716519,1067515,0.0118471,0,3
CRoaring,21844315,33,OR,0.620006,0,0,5648823,3
CRoaring,21844315,33,AND,0.226726,0,0,0,3
CRoaring,21844315,33,XOR,0.711038,0,0,5648823,3
CRoaring,21844315,33,multi-OR,3.16923,0,0,21844315,3
CRoaring,21844315,33,load,0.691457,1067515,0.0118471,0,4
CRoaring,21844315,33,OR,0.592174,0,0,5648823,4
CRoaring,21844315,33,AND,0.233435,0,0,0,4
CRoaring,21844315,33,XOR,0.696236,0,0,5648823,4
CRoaring,21844315,33,multi-OR,3.14006,0,0,21844315,4
CRoaring,21844315,33,load,0.692263,1067515,0.0118471,0,5
CRoaring,21844315,33,OR,0.597424,0,0,5648823,5
CRoaring,21844315,33,AND,0.236594,0,0,0,5
CRoaring,21844315,33,XOR,0.700178,0,0,5648823,5
CRoaring,21844315,33,multi-OR,3.11379,0,0,21844315,5
CRoaring,21844315,33,load,0.682866,1067515,0.0118471,0,6
CRoaring,21844315,33,OR,0.604981,0,0,5648823,6
CRoaring,21844315,33,AND,0.226247,0,0,0,6
CRoaring,21844315,33,XOR,0.699988,0,0,5648823,6
CRoaring,21844315,33,multi-OR,3.11295,0,0,21844315,6
CRoaring,21844315,33,load,0.687941,1067515,0.0118471,0,7
CRoaring,21844315,33,OR,0.590028,0,0,5648823,7
CRoaring,21844315,33,AND,0.23766,0,0,0,7
CRoaring,21844315,33,XOR,0.696264,0,0,5648823,7
CRoaring,21844315,33,multi-OR,3.11259,0,0,21844315,7
CRoaring,21844315,33,load,0.682949,1067515,0.0118471,0,8
CRoaring,21844315,33,OR,0.607388,0,0,5648823,8
CRoaring,21844315,33,AND,0.227593,0,0,0,8
CRoaring,21844315,33,XOR,0.709492,0,0,5648823,8
CRoaring,21844315,33,multi-OR,3.10872,0,0,21844315,8
CRoaring,21844315,33,load,0.659273,1067515,0.0118471,0,9
CRoaring,21844315,33,OR,0.610182,0,0,5648823,9
CRoaring,21844315,33,AND,0.226524,0,0,0,9
CRoaring,21844315,33,XOR,0.714566,0,0,5648823,9
CRoaring,21844315,33,multi-OR,3.12075,0,0,21844315,9
CRoaring,21844315,33,load,0.680742,1067515,0.0118471,0,10
CRoaring,21844315,33,OR,0.615507,0,0,5648823,10
CRoaring,21844315,33,AND,0.229243,0,0,0,10
CRoaring,21844315,33,XOR,0.709082,0,0,5648823,10
CRoaring,21844315,33,multi-OR,3.10609,0,0,21844315,10
CRoaring,21844315,33,load,0.694472,1067515,0.0118471,0,11
CRoaring,21844315,33,OR,0.600878,0,0,5648823,11
CRoaring,21844315,33,AND,0.235945,0,0,0,11
CRoaring,21844315,33,XOR,0.69618,0,0,5648823,11
CRoaring,21844315,33,multi-OR,3.09858,0,0,21844315,11
CRoaring,21844315,33,load,0.659058,1067515,0.0118471,0,12
CRoaring,21844315,33,OR,0.596241,0,0,5648823,12
CRoaring,21844315,33,AND,0.232991,0,0,0,12
CRoaring,21844315,33,XOR,0.717747,0,0,5648823,12
CRoaring,21844315,33,multi-OR,3.09463,0,0,21844315,12
CRoaring,21844315,33,load,0.686263,1067515,0.0118471,0,13
CRoaring,21844315,33,OR,0.60668,0,0,5648823,13
CRoaring,21844315,33,AND,0.240198,0,0,0,13
CRoaring,21844315,33,XOR,0.705332,0,0,5648823,13
CRoaring,21844315,33,multi-OR,3.10552,0,0,21844315,13
CRoaring,21844315,33,load,0.673477,1067515,0.0118471,0,14
CRoaring,21844315,33,OR,0.594695,0,0,5648823,14
CRoaring,21844315,33,AND,0.228839,0,0,0,14
CRoaring,21844315,33,XOR,0.700865,0,0,5648823,14
CRoaring,21844315,33,multi-OR,3.1251,0,0,21844315,14
CRoaring,21844315,33,load,0.698575,1067515,0.0118471,0,15
CRoaring,21844315,33,OR,0.592035,0,0,5648823,15
CRoaring,21844315,33,AND,0.237505,0,0,0,15
CRoaring,21844315,33,XOR,0.692423,0,0,5648823,15
CRoaring,21844315,33,multi-OR,3.13112,0,0,21844315,15
CRoaring,21844315,33,load,0.687198,1067515,0.0118471,0,16
CRoaring,21844315,33,OR,0.60465,0,0,5648823,16
CRoaring,21844315,33,AND,0.224978,0,0,0,16
CRoaring,21844315,33,XOR,0.69822,0,0,5648823,16
CRoaring,21844315,33,multi-OR,3.11103,0,0,21844315,16
CRoaring,21844315,33,load,0.664278,1067515,0.0118471,0,17
CRoaring,21844315,33,OR,0.586873,0,0,5648823,17
CRoaring,21844315,33,AND,0.240222,0,0,0,17
CRoaring,21844315,33,XOR,0.699301,0,0,5648823,17
CRoaring,21844315,33,multi-OR,3.11304,0,0,21844315,17
CRoaring,21844315,33,load,0.689409,1067515,0.0118471,0,18
CRoaring,21844315,33,OR,0.611854,0,0,5648823,18
CRoaring,21844315,33,AND,0.226497,0,0,0,18
CRoaring,21844315,33,XOR,0.703009,0,0,5648823,18
CRoaring,21844315,33,multi-OR,3.13444,0,0,21844315,18
CRoaring,21844315,33,load,0.657953,1067515,0.0118471,0,19
CRoaring,21844315,33,OR,0.594712,0,0,5648823,19
CRoaring,21844315,33,AND,0.233838,0,0,0,19
CRoaring,21844315,33,XOR,0.699832,0,0,5648823,19
CRoaring,21844315,33,multi-OR,3.13769,0,0,21844315,19
CRoaring,21844315,33,load,0.689101,1067515,0.0118471,0,20
CRoaring,21844315,33,OR,0.613127,0,0,5648823,20
CRoaring,21844315,33,AND,0.236179,0,0,0,20
CRoaring,21844315,33,XOR,0.687757,0,0,5648823,20
CRoaring,21844315,33,multi-OR,3.13665,0,0,21844315,20
CRoaring,21844315,33,load,0.678984,1067515,0.0118471,0,21
CRoaring,21844315,33,OR,0.611524,0,0,5648823,21
CRoaring,21844315,33,AND,0.233027,0,0,0,21
CRoaring,21844315,33,XOR,0.707986,0,0,5648823,21
CRoaring,21844315,33,multi-OR,3.1133,0,0,21844315,21
CRoaring,21844315,33,load,0.683003,1067515,0.0118471,0,22
CRoaring,21844315,33,OR,0.609334,0,0,5648823,22
CRoaring,21844315,33,AND,0.230485,0,0,0,22
CRoaring,21844315,33,XOR,0.694691,0,0,5648823,22
CRoaring,21844315,33,multi-OR,3.14743,0,0,21844315,22
CRoaring,21844315,33,load,0.665768,1067515,0.0118471,0,23
CRoaring,21844315,33,OR,0.600523,0,0,5648823,23
CRoaring,21844315,33,AND,0.236872,0,0,0,23
CRoaring,21844315,33,XOR,0.690169,0,0,5648823,23
CRoaring,21844315,33,multi-OR,3.12141,0,0,21844315,23
CRoaring,21844315,33,load,0.677203,1067515,0.0118471,0,24
CRoaring,21844315,33,OR,0.594126,0,0,5648823,24
CRoaring,21844315,33,AND,0.235368,0,0,0,24
CRoaring,21844315,33,XOR,0.69875,0,0,5648823,24
CRoaring,21844315,33,multi-OR,3.11727,0,0,21844315,24
CRoaring,21844315,33,load,0.687084,1067515,0.0118471,0,25
CRoaring,21844315,33,OR,0.611106,0,0,5648823,25
CRoaring,21844315,33,AND,0.241462,0,0,0,25
CRoaring,21844315,33,XOR,0.699357,0,0,5648823,25
CRoaring,21844315,33,multi-OR,3.13573,0,0,21844315,25
CRoaring,21844315,33,load,0.678545,1067515,0.0118471,0,26
CRoaring,21844315,33,OR,0.594256,0,0,5648823,26
CRoaring,21844315,33,AND,0.236828,0,0,0,26
CRoaring,21844315,33,XOR,0.702757,0,0,5648823,26
CRoaring,21844315,33,multi-OR,3.10986,0,0,21844315,26
CRoaring,21844315,33,load,0.694274,1067515,0.0118471,0,27
CRoaring,21844315,33,OR,0.636638,0,0,5648823,27
CRoaring,21844315,33,AND,0.236478,0,0,0,27
CRoaring,21844315,33,XOR,0.688794,0,0,5648823,27
CRoaring,21844315,33,multi-OR,3.11216,0,0,21844315,27
CRoaring,21844315,33,load,0.692675,1067515,0.0118471,0,28
CRoaring,21844315,33,OR,0.600439,0,0,5648823,28
CRoaring,21844315,33,AND,0.225933,0,0,0,28
CRoaring,21844315,33,XOR,0.707805,0,0,5648823,28
CRoaring,21844315,33,multi-OR,3.14596,0,0,21844315,28
CRoaring,21844315,33,load,0.669561,1067515,0.0118471,0,29
CRoaring,21844315,33,OR,0.610136,0,0,5648823,29
CRoaring,21844315,33,AND,0.225939,0,0,0,29
CRoaring,21844315,33,XOR,0.696545,0,0,5648823,29
CRoaring,21844315,33,multi-OR,3.14334,0,0,21844315,29
CRoaring,21844315,33,load,0.685839,1067515,0.0118471,0,30
CRoaring,21844315,33,OR,0.598091,0,0,5648823,30
CRoaring,21844315,33,AND,0.237238,0,0,0,30
CRoaring,21844315,33,XOR,0.700751,0,0,5648823,30
CRoaring,21844315,33,multi-OR,3.12625,0,0,21844315,30
CRoaring,21844315,33,load,0.694163,1067515,0.0118471,0,31
CRoaring,21844315,33,OR,0.624994,0,0,5648823,31
CRoaring,21844315,33,AND,0.224317,0,0,0,31
CRoaring,21844315,33,XOR,0.705083,0,0,5648823,31
CRoaring,21844315,33,multi-OR,3.13272,0,0,21844315,31
CRoaring,21844315,33,load,0.683735,1067515,0.0118471,0,32
CRoaring,21844315,33,OR,0.58707,0,0,5648823,32
CRoaring,21844315,33,AND,0.231156,0,0,0,32
CRoaring,21844315,33,XOR,0.705744,0,0,5648823,32
CRoaring,21844315,33,multi-OR,3.10616,0,0,21844315,32
CRoaring,21844315,33,load,0.675504,1067515,0.0118471,0,33
CRoaring,21844315,33,OR,0.630716,0,0,5648823,33
CRoaring,21844315,33,AND,0.228436,0,0,0,33
CRoaring,21844315,33,XOR,0.691212,0,0,5648823,33
CRoaring,21844315,33,multi-OR,3.11876,0,0,21844315,33
CRoaring,21844315,33,load,0.676906,1067515,0.0118471,0,34
CRoaring,21844315,33,OR,0.59878,0,0,5648823,34
CRoaring,21844315,33,AND,0.22843,0,0,0,34
CRoaring,21844315,33,XOR,0.715755,0,0,5648823,34
CRoaring,21844315,33,multi-OR,3.1353,0,0,21844315,34
CRoaring,21844315,33,load,0.681057,1067515,0.0118471,0,35
CRoaring,21844315,33,OR,0.606242,0,0,5648823,35
CRoaring,21844315,33,AND,0.230011,0,0,0,35
CRoaring,21844315,33,XOR,0.693639,0,0,5648823,35
CRoaring,21844315,33,multi-OR,3.13376,0,0,21844315,35
CRoaring,21844315,33,load,0.680044,1067515,0.0118471,0,36
CRoaring,21844315,33,OR,0.597482,0,0,5648823,36
CRoaring,21844315,33,AND,0.227817,0,0,0,36
CRoaring,21844315,33,XOR,0.707761,0,0,5648823,36
CRoaring,21844315,33,multi-OR,3.12424,0,0,21844315,36
CRoaring,21844315,33,load,0.677698,1067515,0.0118471,0,37
CRoaring,21844315,33,OR,0.606177,0,0,5648823,37
CRoaring,21844315,33,AND,0.235288,0,0,0,37
CRoaring,21844315,33,XOR,0.705533,0,0,5648823,37
CRoaring,21844315,33,multi-OR,3.11179,0,0,21844315,37
CRoaring,21844315,33,load,0.673161,1067515,0.0118471,0,38
CRoaring,21844315,33,OR,0.596374,0,0,5648823,38
CRoaring,21844315,33,AND,0.235243,0,0,0,38
CRoaring,21844315,33,XOR,0.714054,0,0,5648823,38
CRoaring,21844315,33,multi-OR,3.11435,0,0,21844315,38
CRoaring,21844315,33,load,0.677805,1067515,0.0118471,0,39
CRoaring,21844315,33,OR,0.597704,0,0,5648823,39
CRoaring,21844315,33,AND,0.229495,0,0,0,39
CRoaring,21844315,33,XOR,0.697321,0,0,5648823,39
CRoaring,21844315,33,multi-OR,3.09688,0,0,21844315,39
CRoaring,21844315,33,load,0.67685,1067515,0.0118471,0,40
CRoaring,21844315,33,OR,0.599019,0,0,5648823,40
CRoaring,21844315,33,AND,0.230146,0,0,0,40
CRoaring,21844315,33,XOR,0.719575,0,0,5648823,40
CRoaring,21844315,33,multi-OR,3.11105,0,0,21844315,40
CRoaring,21844315,33,load,0.688126,1067515,0.0118471,0,41
CRoaring,21844315,33,OR,0.592444,0,0,5648823,41
CRoaring,21844315,33,AND,0.230531,0,0,0,41
CRoaring,21844315,33,XOR,0.70938,0,0,5648823,41
CRoaring,21844315,33,multi-OR,3.13347,0,0,21844315,41
CRoaring,21844315,33,load,0.652207,1067515,0.0118471,0,42
CRoaring,21844315,33,OR,0.622774,0,0,5648823,42
CRoaring,21844315,33,AND,0.232769,0,0,0,42
CRoaring,21844315,33,XOR,0.721127,0,0,5648823,42
CRoaring,21844315,33,multi-OR,3.128,0,0,21844315,42
CRoaring,21844315,33,load,0.682198,1067515,0.0118471,0,43
CRoaring,21844315,33,OR,0.603268,0,0,5648823,43
CRoaring,21844315,33,AND,0.236217,0,0,0,43
CRoaring,21844315,33,XOR,0.706511,0,0,5648823,43
CRoaring,21844315,33,multi-OR,3.1292,0,0,21844315,43
CRoaring,21844315,33,load,0.681586,1067515,0.0118471,0,44
