backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,17,load,2.81878,5743312,0.123727,0,1
CRoaring,21844315,17,OR,2.56988,0,0,13160055,1
CRoaring,21844315,17,AND,0.896236,0,0,0,1
CRoaring,21844315,17,XOR,1.73265,0,0,13160055,1
CRoaring,21844315,17,multi-OR,4.14806,0,0,21844315,1
CRoaring,21844315,17,load,1.6177,5743312,0.123727,0,2
CRoaring,21844315,17,OR,1.33996,0,0,13160055,2
CRoaring,21844315,17,AND,0.760135,0,0,0,2
CRoaring,21844315,17,XOR,1.29685,0,0,13160055,2
CRoaring,21844315,17,multi-OR,4.09355,0,0,21844315,2
CRoaring,21844315,17,load,1.48537,5743312,0.123727,0,3
CRoaring,21844315,17,OR,1.22193,0,0,13160055,3
CRoaring,21844315,17,AND,0.751515,0,0,0,3
CRoaring,21844315,17,XOR,1.3022,0,0,13160055,3
CRoaring,21844315,17,multi-OR,4.14508,0,0,21844315,3
CRoaring,21844315,17,load,1.41584,5743312,0.123727,0,4
CRoaring,21844315,17,OR,1.24659,0,0,13160055,4
CRoaring,21844315,17,AND,0.771659,0,0,0,4
CRoaring,21844315,17,XOR,1.31676,0,0,13160055,4
CRoaring,21844315,17,multi-OR,4.1208,0,0,21844315,4
CRoaring,21844315,17,load,1.37575,5743312,0.123727,0,5
CRoaring,21844315,17,OR,1.22111,0,0,13160055,5
CRoaring,21844315,17,AND,0.749039,0,0,0,5
CRoaring,21844315,17,XOR,1.31487,0,0,13160055,5
CRoaring,21844315,17,multi-OR,4.10835,0,0,21844315,5
CRoaring,21844315,17,load,1.44297,5743312,0.123727,0,6
CRoaring,21844315,17,OR,1.23943,0,0,13160055,6
CRoaring,21844315,17,AND,0.763788,0,0,0,6
CRoaring,21844315,17,XOR,1.29944,0,0,13160055,6
CRoaring,21844315,17,multi-OR,4.11661,0,0,21844315,6
CRoaring,21844315,17,load,1.38243,5743312,0.123727,0,7
CRoaring,21844315,17,OR,1.23623,0,0,13160055,7
CRoaring,21844315,17,AND,0.769714,0,0,0,7
CRoaring,21844315,17,XOR,1.29845,0,0,13160055,7
CRoaring,21844315,17,multi-OR,4.14434,0,0,21844315,7
CRoaring,21844315,17,load,1.35151,5743312,0.123727,0,8
CRoaring,21844315,17,OR,1.25344,0,0,13160055,8
CRoaring,21844315,17,AND,0.772948,0,0,0,8
CRoaring,21844315,17,XOR,1.29719,0,0,13160055,8
CRoaring,21844315,17,multi-OR,4.16708,0,0,21844315,8
CRoaring,21844315,17,load,1.37254,5743312,0.123727,0,9
CRoaring,21844315,17,OR,1.24504,0,0,13160055,9
CRoaring,21844315,17,AND,0.745108,0,0,0,9
CRoaring,21844315,17,XOR,1.3187,0,0,13160055,9
CRoaring,21844315,17,multi-OR,4.14768,0,0,21844315,9
CRoaring,21844315,17,load,1.43682,5743312,0.123727,0,10
CRoaring,21844315,17,OR,1.26698,0,0,13160055,10
CRoaring,21844315,17,AND,0.746646,0,0,0,10
CRoaring,21844315,17,XOR,1.31813,0,0,13160055,10
CRoaring,21844315,17,multi-OR,4.10985,0,0,21844315,10
CRoaring,21844315,17,load,1.41859,5743312,0.123727,0,11
CRoaring,21844315,17,OR,1.25657,0,0,13160055,11
CRoaring,21844315,17,AND,0.752659,0,0,0,11
CRoaring,21844315,17,XOR,1.31355,0,0,13160055,11
CRoaring,21844315,17,multi-OR,4.14032,0,0,21844315,11
CRoaring,21844315,17,load,1.40274,5743312,0.123727,0,12
CRoaring,21844315,17,OR,1.27188,0,0,13160055,12
CRoaring,21844315,17,AND,0.762841,0,0,0,12
CRoaring,21844315,17,XOR,1.30378,0,0,13160055,12
CRoaring,21844315,17,multi-OR,4.12709,0,0,21844315,12
CRoaring,21844315,17,load,1.36619,5743312,0.123727,0,13
CRoaring,21844315,17,OR,1.26016,0,0,13160055,13
CRoaring,21844315,17,AND,0.761172,0,0,0,13
CRoaring,21844315,17,XOR,1.30066,0,0,13160055,13
CRoaring,21844315,17,multi-OR,4.1363,0,0,21844315,13
CRoaring,21844315,17,load,1.36933,5743312,0.123727,0,14
CRoaring,21844315,17,OR,1.24235,0,0,13160055,14
CRoaring,21844315,17,AND,0.763189,0,0,0,14
CRoaring,21844315,17,XOR,1.31461,0,0,13160055,14
CRoaring,21844315,17,multi-OR,4.15275,0,0,21844315,14
CRoaring,21844315,17,load,1.42984,5743312,0.123727,0,15
CRoaring,21844315,17,OR,1.24119,0,0,13160055,15
CRoaring,21844315,17,AND,0.763155,0,0,0,15
CRoaring,21844315,17,XOR,1.31264,0,0,13160055,15
CRoaring,21844315,17,multi-OR,4.15894,0,0,21844315,15
CRoaring,21844315,17,load,1.41072,5743312,0.123727,0,16
CRoaring,21844315,17,OR,1.25259,0,0,13160055,16
CRoaring,21844315,17,AND,0.755003,0,0,0,16
CRoaring,21844315,17,XOR,1.29467,0,0,13160055,16
CRoaring,21844315,17,multi-OR,4.10994,0,0,21844315,16
CRoaring,21844315,17,load,1.35111,5743312,0.123727,0,17
CRoaring,21844315,17,OR,1.33143,0,0,13160055,17
CRoaring,21844315,17,AND,0.756827,0,0,0,17
CRoaring,21844315,17,XOR,1.30546,0,0,13160055,17
CRoaring,21844315,17,multi-OR,4.14091,0,0,21844315,17
CRoaring,21844315,17,load,1.38483,5743312,0.123727,0,18
CRoaring,21844315,17,OR,1.24705,0,0,13160055,18
CRoaring,21844315,17,AND,0.751077,0,0,0,18
CRoaring,21844315,17,XOR,1.29924,0,0,13160055,18
CRoaring,21844315,17,multi-OR,4.17221,0,0,21844315,18
CRoaring,21844315,17,load,1.45918,5743312,0.123727,0,19
CRoaring,21844315,17,OR,1.26067,0,0,13160055,19
CRoaring,21844315,17,AND,0.766427,0,0,0,19
CRoaring,21844315,17,XOR,1.30504,0,0,13160055,19
CRoaring,21844315,17,multi-OR,4.15704,0,0,21844315,19
CRoaring,21844315,17,load,1.45122,5743312,0.123727,0,20
CRoaring,21844315,17,OR,1.26253,0,0,13160055,20
CRoaring,21844315,17,AND,0.755062,0,0,0,20
CRoaring,21844315,17,XOR,1.30777,0,0,13160055,20
CRoaring,21844315,17,multi-OR,4.1178,0,0,21844315,20
CRoaring,21844315,17,load,1.4163,5743312,0.123727,0,21
CRoaring,21844315,17,OR,1.25355,0,0,13160055,21
CRoaring,21844315,17,AND,0.754194,0,0,0,21
CRoaring,21844315,17,XOR,1.29955,0,0,13160055,21
CRoaring,21844315,17,multi-OR,4.13293,0,0,21844315,21
CRoaring,21844315,17,load,1.40955,5743312,0.123727,0,22
CRoaring,21844315,17,OR,1.25651,0,0,13160055,22
CRoaring,21844315,17,AND,0.752564,0,0,0,22
CRoaring,21844315,17,XOR,1.30973,0,0,13160055,22
CRoaring,21844315,17,multi-OR,4.19164,0,0,21844315,22
CRoaring,21844315,17,load,1.43481,5743312,0.123727,0,23
CRoaring,21844315,17,OR,1.25224,0,0,13160055,23
CRoaring,21844315,17,AND,0.763613,0,0,0,23
CRoaring,21844315,17,XOR,1.29701,0,0,13160055,23
CRoaring,21844315,17,multi-OR,4.12507,0,0,21844315,23
CRoaring,21844315,17,load,1.37976,5743312,0.123727,0,24
CRoaring,21844315,17,OR,1.25165,0,0,13160055,24
CRoaring,21844315,17,AND,0.758822,0,0,0,24
CRoaring,21844315,17,XOR,1.30966,0,0,13160055,24
CRoaring,21844315,17,multi-OR,4.13763,0,0,21844315,24
CRoaring,21844315,17,load,1.37746,5743312,0.123727,0,25
CRoaring,21844315,17,OR,1.23136,0,0,13160055,25
CRoaring,21844315,17,AND,0.767212,0,0,0,25
CRoaring,21844315,17,XOR,1.29988,0,0,13160055,25
CRoaring,21844315,17,multi-OR,4.11577,0,0,21844315,25
CRoaring,21844315,17,load,1.41186,5743312,0.123727,0,26
CRoaring,21844315,17,OR,1.25022,0,0,13160055,26
CRoaring,21844315,17,AND,0.760781,0,0,0,26
CRoaring,21844315,17,XOR,1.31086,0,0,13160055,26
CRoaring,21844315,17,multi-OR,4.15046,0,0,21844315,26
CRoaring,21844315,17,load,1.39657,5743312,0.123727,0,27
CRoaring,21844315,17,OR,1.23761,0,0,13160055,27
CRoaring,21844315,17,AND,0.77052,0,0,0,27
CRoaring,21844315,17,XOR,1.29968,0,0,13160055,27
CRoaring,21844315,17,multi-OR,4.12211,0,0,21844315,27
CRoaring,21844315,17,load,1.4247,5743312,0.123727,0,28
CRoaring,21844315,17,OR,1.27408,0,0,13160055,28
CRoaring,21844315,17,AND,0.758666,0,0,0,28
