backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,325,load,9.09109,8487225,0.00956388,0,1
CRoaring,21844315,325,OR,2.30574,0,0,604196,1
CRoaring,21844315,325,AND,0.205596,0,0,0,1
CRoaring,21844315,325,XOR,0.584104,0,0,604196,1
CRoaring,21844315,325,multi-OR,31.1779,0,0,21844315,1
CRoaring,21844315,325,load,6.71349,8487225,0.00956388,0,2
CRoaring,21844315,325,OR,0.613981,0,0,604196,2
CRoaring,21844315,325,AND,0.17396,0,0,0,2
CRoaring,21844315,325,XOR,0.47448,0,0,604196,2
CRoaring,21844315,325,multi-OR,34.5924,0,0,21844315,2
CRoaring,21844315,325,load,6.53186,8487225,0.00956388,0,3
CRoaring,21844315,325,OR,0.461472,0,0,604196,3
CRoaring,21844315,325,AND,0.170161,0,0,0,3
CRoaring,21844315,325,XOR,0.476287,0,0,604196,3
CRoaring,21844315,325,multi-OR,31.1172,0,0,21844315,3
CRoaring,21844315,325,load,4.89332,8487225,0.00956388,0,4
CRoaring,21844315,325,OR,0.407967,0,0,604196,4
CRoaring,21844315,325,AND,0.168266,0,0,0,4
CRoaring,21844315,325,XOR,0.471518,0,0,604196,4
CRoaring,21844315,325,multi-OR,31.0973,0,0,21844315,4
CRoaring,21844315,325,load,6.09344,8487225,0.00956388,0,5
CRoaring,21844315,325,OR,0.440076,0,0,604196,5
CRoaring,21844315,325,AND,0.169377,0,0,0,5
CRoaring,21844315,325,XOR,0.495521,0,0,604196,5
CRoaring,21844315,325,multi-OR,31.2412,0,0,21844315,5
CRoaring,21844315,325,load,4.588,8487225,0.00956388,0,6
CRoaring,21844315,325,OR,0.401014,0,0,604196,6
CRoaring,21844315,325,AND,0.17672,0,0,0,6
CRoaring,21844315,325,XOR,0.491403,0,0,604196,6
CRoaring,21844315,325,multi-OR,31.1202,0,0,21844315,6
CRoaring,21844315,325,load,6.06936,8487225,0.00956388,0,7
CRoaring,21844315,325,OR,0.412323,0,0,604196,7
CRoaring,21844315,325,AND,0.167691,0,0,0,7
CRoaring,21844315,325,XOR,0.466494,0,0,604196,7
CRoaring,21844315,325,multi-OR,31.2107,0,0,21844315,7
CRoaring,21844315,325,load,6.02978,8487225,0.00956388,0,8
CRoaring,21844315,325,OR,0.413652,0,0,604196,8
CRoaring,21844315,325,AND,0.169377,0,0,0,8
CRoaring,21844315,325,XOR,0.474223,0,0,604196,8
CRoaring,21844315,325,multi-OR,31.2176,0,0,21844315,8
CRoaring,21844315,325,load,6.04202,8487225,0.00956388,0,9
CRoaring,21844315,325,OR,0.407808,0,0,604196,9
CRoaring,21844315,325,AND,0.168801,0,0,0,9
CRoaring,21844315,325,XOR,0.475267,0,0,604196,9
CRoaring,21844315,325,multi-OR,31.1163,0,0,21844315,9
CRoaring,21844315,325,load,6.06024,8487225,0.00956388,0,10
CRoaring,21844315,325,OR,0.400643,0,0,604196,10
CRoaring,21844315,325,AND,0.170437,0,0,0,10
