backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,232,load,29.0494,43894046,0.0692898,0,1
CRoaring,21844315,232,OR,3.6151,0,0,771958,1
CRoaring,21844315,232,AND,0.478208,0,0,0,1
CRoaring,21844315,232,XOR,1.82996,0,0,771958,1
CRoaring,21844315,232,multi-OR,75.0159,0,0,21844315,1
CRoaring,21844315,232,load,20.146,43894046,0.0692898,0,2
CRoaring,21844315,232,OR,1.23662,0,0,771958,2
CRoaring,21844315,232,AND,0.457016,0,0,0,2
CRoaring,21844315,232,XOR,1.27147,0,0,771958,2
CRoaring,21844315,232,multi-OR,73.1845,0,0,21844315,2
CRoaring,21844315,232,load,18.2548,43894046,0.0692898,0,3
CRoaring,21844315,232,OR,1.22092,0,0,771958,3
CRoaring,21844315,232,AND,0.462564,0,0,0,3
CRoaring,21844315,232,XOR,1.25459,0,0,771958,3
CRoaring,21844315,232,multi-OR,74.2334,0,0,21844315,3
CRoaring,21844315,232,load,19.3362,43894046,0.0692898,0,4
CRoaring,21844315,232,OR,1.22944,0,0,771958,4
CRoaring,21844315,232,AND,0.466856,0,0,0,4
CRoaring,21844315,232,XOR,1.25412,0,0,771958,4
CRoaring,21844315,232,multi-OR,73.949,0,0,21844315,4
CRoaring,21844315,232,load,18.9626,43894046,0.0692898,0,5
CRoaring,21844315,232,OR,1.23318,0,0,771958,5
CRoaring,21844315,232,AND,0.454716,0,0,0,5
CRoaring,21844315,232,XOR,1.27789,0,0,771958,5
CRoaring,21844315,232,multi-OR,74.019,0,0,21844315,5
CRoaring,21844315,232,load,17.7831,43894046,0.0692898,0,6
CRoaring,21844315,232,OR,1.20332,0,0,771958,6
CRoaring,21844315,232,AND,0.468304,0,0,0,6
CRoaring,21844315,232,XOR,1.27076,0,0,771958,6
CRoaring,21844315,232,multi-OR,73.8862,0,0,21844315,6
CRoaring,21844315,232,load,18.2784,43894046,0.0692898,0,7
CRoaring,21844315,232,OR,1.22947,0,0,771958,7
CRoaring,21844315,232,AND,0.455337,0,0,0,7
CRoaring,21844315,232,XOR,1.26865,0,0,771958,7
CRoaring,21844315,232,multi-OR,73.5367,0,0,21844315,7
CRoaring,21844315,232,load,17.8284,43894046,0.0692898,0,8
CRoaring,21844315,232,OR,1.22637,0,0,771958,8
CRoaring,21844315,232,AND,0.461127,0,0,0,8
CRoaring,21844315,232,XOR,1.25429,0,0,771958,8
CRoaring,21844315,232,multi-OR,74.0291,0,0,21844315,8
CRoaring,21844315,232,load,18.2048,43894046,0.0692898,0,9
CRoaring,21844315,232,OR,1.21701,0,0,771958,9
CRoaring,21844315,232,AND,0.459731,0,0,0,9
CRoaring,21844315,232,XOR,1.26707,0,0,771958,9
CRoaring,21844315,232,multi-OR,74.2044,0,0,21844315,9
CRoaring,21844315,232,load,18.3307,43894046,0.0692898,0,10
CRoaring,21844315,232,OR,1.21851,0,0,771958,10
CRoaring,21844315,232,AND,0.482752,0,0,0,10
CRoaring,21844315,232,XOR,1.24708,0,0,771958,10
CRoaring,21844315,232,multi-OR,73.717,0,0,21844315,10
CRoaring,21844315,232,load,17.8065,43894046,0.0692898,0,11
CRoaring,21844315,232,OR,1.21714,0,0,771958,11
CRoaring,21844315,232,AND,0.462411,0,0,0,11
CRoaring,21844315,232,XOR,1.25943,0,0,771958,11
CRoaring,21844315,232,multi-OR,72.9216,0,0,21844315,11
CRoaring,21844315,232,load,18.0269,43894046,0.0692898,0,12
CRoaring,21844315,232,OR,1.22656,0,0,771958,12
CRoaring,21844315,232,AND,0.456464,0,0,0,12
CRoaring,21844315,232,XOR,1.24594,0,0,771958,12
CRoaring,21844315,232,multi-OR,73.6374,0,0,21844315,12
CRoaring,21844315,232,load,17.964,43894046,0.0692898,0,13
CRoaring,21844315,232,OR,1.22917,0,0,771958,13
CRoaring,21844315,232,AND,0.449951,0,0,0,13
CRoaring,21844315,232,XOR,1.27758,0,0,771958,13
CRoaring,21844315,232,multi-OR,73.6515,0,0,21844315,13
CRoaring,21844315,232,load,17.602,43894046,0.0692898,0,14
CRoaring,21844315,232,OR,1.21734,0,0,771958,14
CRoaring,21844315,232,AND,0.452129,0,0,0,14
CRoaring,21844315,232,XOR,1.26827,0,0,771958,14
CRoaring,21844315,232,multi-OR,73.6253,0,0,21844315,14
CRoaring,21844315,232,load,17.8379,43894046,0.0692898,0,15
CRoaring,21844315,232,OR,1.22226,0,0,771958,15
CRoaring,21844315,232,AND,0.459213,0,0,0,15
CRoaring,21844315,232,XOR,1.25435,0,0,771958,15
CRoaring,21844315,232,multi-OR,73.9568,0,0,21844315,15
CRoaring,21844315,232,load,16.947,43894046,0.0692898,0,16
CRoaring,21844315,232,OR,1.21767,0,0,771958,16
CRoaring,21844315,232,AND,0.462,0,0,0,16
CRoaring,21844315,232,XOR,1.25712,0,0,771958,16
CRoaring,21844315,232,multi-OR,73.9899,0,0,21844315,16
CRoaring,21844315,232,load,18.4278,43894046,0.0692898,0,17
CRoaring,21844315,232,OR,1.2119,0,0,771958,17
CRoaring,21844315,232,AND,0.475127,0,0,0,17
CRoaring,21844315,232,XOR,1.27324,0,0,771958,17
CRoaring,21844315,232,multi-OR,73.4559,0,0,21844315,17
CRoaring,21844315,232,load,17.1719,43894046,0.0692898,0,18
CRoaring,21844315,232,OR,1.22784,0,0,771958,18
CRoaring,21844315,232,AND,0.455476,0,0,0,18
CRoaring,21844315,232,XOR,1.28543,0,0,771958,18
CRoaring,21844315,232,multi-OR,73.6917,0,0,21844315,18
CRoaring,21844315,232,load,16.4567,43894046,0.0692898,0,19
CRoaring,21844315,232,OR,1.22468,0,0,771958,19
CRoaring,21844315,232,AND,0.460978,0,0,0,19
CRoaring,21844315,232,XOR,1.26214,0,0,771958,19
CRoaring,21844315,232,multi-OR,73.0302,0,0,21844315,19
CRoaring,21844315,232,load,17.2487,43894046,0.0692898,0,20
CRoaring,21844315,232,OR,1.21669,0,0,771958,20
CRoaring,21844315,232,AND,0.466634,0,0,0,20
CRoaring,21844315,232,XOR,1.25529,0,0,771958,20
CRoaring,21844315,232,multi-OR,73.9596,0,0,21844315,20
CRoaring,21844315,232,load,17.4931,43894046,0.0692898,0,21
CRoaring,21844315,232,OR,1.21481,0,0,771958,21
CRoaring,21844315,232,AND,0.462799,0,0,0,21
CRoaring,21844315,232,XOR,1.25142,0,0,771958,21
CRoaring,21844315,232,multi-OR,73.6727,0,0,21844315,21
CRoaring,21844315,232,load,17.37,43894046,0.0692898,0,22
CRoaring,21844315,232,OR,1.22506,0,0,771958,22
CRoaring,21844315,232,AND,0.459624,0,0,0,22
CRoaring,21844315,232,XOR,1.2559,0,0,771958,22
CRoaring,21844315,232,multi-OR,73.5505,0,0,21844315,22
CRoaring,21844315,232,load,17.0441,43894046,0.0692898,0,23
CRoaring,21844315,232,OR,1.22127,0,0,771958,23
CRoaring,21844315,232,AND,0.454433,0,0,0,23
CRoaring,21844315,232,XOR,1.25858,0,0,771958,23
CRoaring,21844315,232,multi-OR,74.1827,0,0,21844315,23
CRoaring,21844315,232,load,17.3994,43894046,0.0692898,0,24
CRoaring,21844315,232,OR,1.22021,0,0,771958,24
CRoaring,21844315,232,AND,0.460742,0,0,0,24
CRoaring,21844315,232,XOR,1.25643,0,0,771958,24
CRoaring,21844315,232,multi-OR,73.9321,0,0,21844315,24
CRoaring,21844315,232,load,17.9921,43894046,0.0692898,0,25
CRoaring,21844315,232,OR,1.21819,0,0,771958,25
CRoaring,21844315,232,AND,0.456837,0,0,0,25
CRoaring,21844315,232,XOR,1.26021,0,0,771958,25
CRoaring,21844315,232,multi-OR,73.625,0,0,21844315,25
CRoaring,21844315,232,load,17.419,43894046,0.0692898,0,26
CRoaring,21844315,232,OR,1.22798,0,0,771958,26
CRoaring,21844315,232,AND,0.456791,0,0,0,26
CRoaring,21844315,232,XOR,1.2622,0,0,771958,26
CRoaring,21844315,232,multi-OR,72.911,0,0,21844315,26
CRoaring,21844315,232,load,16.9699,43894046,0.0692898,0,27
CRoaring,21844315,232,OR,1.22423,0,0,771958,27
CRoaring,21844315,232,AND,0.456979,0,0,0,27
CRoaring,21844315,232,XOR,1.26167,0,0,771958,27
CRoaring,21844315,232,multi-OR,73.3404,0,0,21844315,27
CRoaring,21844315,232,load,16.6711,43894046,0.0692898,0,28
CRoaring,21844315,232,OR,1.20057,0,0,771958,28
CRoaring,21844315,232,AND,0.462174,0,0,0,28
CRoaring,21844315,232,XOR,1.2742,0,0,771958,28
