backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.044328,203,1.49357e-05,0,1
CRoaring,36244344,3,OR,0.057644,0,0,18491,1
CRoaring,36244344,3,AND,1.58868,0,0,0,1
CRoaring,36244344,3,XOR,0.169491,0,0,18491,1
CRoaring,36244344,3,multi-OR,0.002893,0,0,26216,1
CRoaring,36244344,3,OR_op,0.000198,0,0,18491,1
CRoaring,36244344,3,AND_op,0.000127,0,0,0,1
CRoaring,36244344,3,XOR_op,0.000328,0,0,18491,1
CRoaring,36244344,3,NOT_op,0.034428,0,0,36234095,1
CRoaring,36244344,3,OR_op_conv,0.168169,0,0,18491,1
CRoaring,36244344,3,AND_op_conv,0.167734,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.168116,0,0,18491,1
CRoaring,36244344,3,NOT_op_conv,0.395698,0,0,36234095,1
CRoaring,36244344,3,COMP_op_native,0.036967,0,0,36236102,1
CRoaring,36244344,3,COMP_op,0.396448,0,0,0,1
