backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2609129,2,load,0.013679,596,0.000913715,0,1
CRoaring,2609129,2,OR,0.181371,0,0,2609129,1
CRoaring,2609129,2,AND,0.007951,0,0,0,1
CRoaring,2609129,2,XOR,0.017667,0,0,2609129,1
CRoaring,2609129,2,load,0.015472,596,0.000913715,0,2
CRoaring,2609129,2,OR,0.01683,0,0,2609129,2
CRoaring,2609129,2,AND,0.00735,0,0,0,2
CRoaring,2609129,2,XOR,0.016721,0,0,2609129,2
CRoaring,2609129,2,load,0.01214,596,0.000913715,0,3
CRoaring,2609129,2,OR,0.016345,0,0,2609129,3
CRoaring,2609129,2,AND,0.007045,0,0,0,3
CRoaring,2609129,2,XOR,0.016457,0,0,2609129,3
CRoaring,2609129,2,load,0.012014,596,0.000913715,0,4
CRoaring,2609129,2,OR,0.01647,0,0,2609129,4
CRoaring,2609129,2,AND,0.007013,0,0,0,4
CRoaring,2609129,2,XOR,0.01635,0,0,2609129,4
CRoaring,2609129,2,load,0.011758,596,0.000913715,0,5
CRoaring,2609129,2,OR,0.016279,0,0,2609129,5
CRoaring,2609129,2,AND,0.006992,0,0,0,5
CRoaring,2609129,2,XOR,0.016421,0,0,2609129,5
CRoaring,2609129,2,load,0.011638,596,0.000913715,0,6
CRoaring,2609129,2,OR,0.016491,0,0,2609129,6
CRoaring,2609129,2,AND,0.006977,0,0,0,6
CRoaring,2609129,2,XOR,0.01648,0,0,2609129,6
CRoaring,2609129,2,load,0.011656,596,0.000913715,0,7
CRoaring,2609129,2,OR,0.016313,0,0,2609129,7
CRoaring,2609129,2,AND,0.007075,0,0,0,7
CRoaring,2609129,2,XOR,0.016149,0,0,2609129,7
CRoaring,2609129,2,load,0.011266,596,0.000913715,0,8
CRoaring,2609129,2,OR,0.016394,0,0,2609129,8
CRoaring,2609129,2,AND,0.006962,0,0,0,8
CRoaring,2609129,2,XOR,0.016237,0,0,2609129,8
CRoaring,2609129,2,load,0.011175,596,0.000913715,0,9
CRoaring,2609129,2,OR,0.016151,0,0,2609129,9
CRoaring,2609129,2,AND,0.006955,0,0,0,9
CRoaring,2609129,2,XOR,0.016214,0,0,2609129,9
CRoaring,2609129,2,load,0.012977,596,0.000913715,0,10
CRoaring,2609129,2,OR,0.019161,0,0,2609129,10
CRoaring,2609129,2,AND,0.006999,0,0,0,10
CRoaring,2609129,2,XOR,0.016292,0,0,2609129,10
CRoaring,2609129,2,load,0.012843,596,0.000913715,0,11
CRoaring,2609129,2,OR,0.016388,0,0,2609129,11
CRoaring,2609129,2,AND,0.007058,0,0,0,11
CRoaring,2609129,2,XOR,0.016225,0,0,2609129,11
CRoaring,2609129,2,load,0.011233,596,0.000913715,0,12
CRoaring,2609129,2,OR,0.016206,0,0,2609129,12
CRoaring,2609129,2,AND,0.00698,0,0,0,12
CRoaring,2609129,2,XOR,0.016344,0,0,2609129,12
CRoaring,2609129,2,load,0.011279,596,0.000913715,0,13
CRoaring,2609129,2,OR,0.01606,0,0,2609129,13
CRoaring,2609129,2,AND,0.006949,0,0,0,13
CRoaring,2609129,2,XOR,0.016357,0,0,2609129,13
CRoaring,2609129,2,load,0.010963,596,0.000913715,0,14
CRoaring,2609129,2,OR,0.016014,0,0,2609129,14
CRoaring,2609129,2,AND,0.006946,0,0,0,14
CRoaring,2609129,2,XOR,0.016315,0,0,2609129,14
CRoaring,2609129,2,load,0.011352,596,0.000913715,0,15
CRoaring,2609129,2,OR,0.016141,0,0,2609129,15
CRoaring,2609129,2,AND,0.006966,0,0,0,15
CRoaring,2609129,2,XOR,0.016211,0,0,2609129,15
CRoaring,2609129,2,load,0.01104,596,0.000913715,0,16
CRoaring,2609129,2,OR,0.016021,0,0,2609129,16
CRoaring,2609129,2,AND,0.006948,0,0,0,16
CRoaring,2609129,2,XOR,0.022948,0,0,2609129,16
CRoaring,2609129,2,load,0.01265,596,0.000913715,0,17
CRoaring,2609129,2,OR,0.017059,0,0,2609129,17
CRoaring,2609129,2,AND,0.007067,0,0,0,17
CRoaring,2609129,2,XOR,0.017157,0,0,2609129,17
CRoaring,2609129,2,load,0.0131,596,0.000913715,0,18
CRoaring,2609129,2,OR,0.016154,0,0,2609129,18
CRoaring,2609129,2,AND,0.006965,0,0,0,18
CRoaring,2609129,2,XOR,0.016264,0,0,2609129,18
CRoaring,2609129,2,load,0.011651,596,0.000913715,0,19
CRoaring,2609129,2,OR,0.016193,0,0,2609129,19
CRoaring,2609129,2,AND,0.00708,0,0,0,19
CRoaring,2609129,2,XOR,0.016156,0,0,2609129,19
CRoaring,2609129,2,load,0.011379,596,0.000913715,0,20
CRoaring,2609129,2,OR,0.016123,0,0,2609129,20
CRoaring,2609129,2,AND,0.006946,0,0,0,20
CRoaring,2609129,2,XOR,0.016267,0,0,2609129,20
CRoaring,2609129,2,load,0.011432,596,0.000913715,0,21
CRoaring,2609129,2,OR,0.016155,0,0,2609129,21
CRoaring,2609129,2,AND,0.006999,0,0,0,21
CRoaring,2609129,2,XOR,0.016235,0,0,2609129,21
CRoaring,2609129,2,load,0.011014,596,0.000913715,0,22
CRoaring,2609129,2,OR,0.016118,0,0,2609129,22
CRoaring,2609129,2,AND,0.006947,0,0,0,22
CRoaring,2609129,2,XOR,0.016291,0,0,2609129,22
CRoaring,2609129,2,load,0.011131,596,0.000913715,0,23
CRoaring,2609129,2,OR,0.016018,0,0,2609129,23
CRoaring,2609129,2,AND,0.006956,0,0,0,23
CRoaring,2609129,2,XOR,0.016264,0,0,2609129,23
CRoaring,2609129,2,load,0.011149,596,0.000913715,0,24
CRoaring,2609129,2,OR,0.016126,0,0,2609129,24
CRoaring,2609129,2,AND,0.006946,0,0,0,24
CRoaring,2609129,2,XOR,0.016198,0,0,2609129,24
CRoaring,2609129,2,load,0.011229,596,0.000913715,0,25
CRoaring,2609129,2,OR,0.016237,0,0,2609129,25
CRoaring,2609129,2,AND,0.006967,0,0,0,25
CRoaring,2609129,2,XOR,0.016313,0,0,2609129,25
CRoaring,2609129,2,load,0.011381,596,0.000913715,0,26
CRoaring,2609129,2,OR,0.016158,0,0,2609129,26
CRoaring,2609129,2,AND,0.00695,0,0,0,26
CRoaring,2609129,2,XOR,0.016425,0,0,2609129,26
CRoaring,2609129,2,load,0.011425,596,0.000913715,0,27
CRoaring,2609129,2,OR,0.016233,0,0,2609129,27
CRoaring,2609129,2,AND,0.006948,0,0,0,27
CRoaring,2609129,2,XOR,0.018999,0,0,2609129,27
CRoaring,2609129,2,load,0.012637,596,0.000913715,0,28
CRoaring,2609129,2,OR,0.016355,0,0,2609129,28
CRoaring,2609129,2,AND,0.007009,0,0,0,28
CRoaring,2609129,2,XOR,0.016439,0,0,2609129,28
CRoaring,2609129,2,load,0.011352,596,0.000913715,0,29
CRoaring,2609129,2,OR,0.016195,0,0,2609129,29
CRoaring,2609129,2,AND,0.006982,0,0,0,29
CRoaring,2609129,2,XOR,0.016299,0,0,2609129,29
CRoaring,2609129,2,load,0.011253,596,0.000913715,0,30
CRoaring,2609129,2,OR,0.016214,0,0,2609129,30
CRoaring,2609129,2,AND,0.006937,0,0,0,30
CRoaring,2609129,2,XOR,0.016396,0,0,2609129,30
CRoaring,2609129,2,load,0.011268,596,0.000913715,0,31
CRoaring,2609129,2,OR,0.016152,0,0,2609129,31
CRoaring,2609129,2,AND,0.006969,0,0,0,31
CRoaring,2609129,2,XOR,0.016284,0,0,2609129,31
CRoaring,2609129,2,load,0.011281,596,0.000913715,0,32
CRoaring,2609129,2,OR,0.016126,0,0,2609129,32
CRoaring,2609129,2,AND,0.006935,0,0,0,32
CRoaring,2609129,2,XOR,0.016228,0,0,2609129,32
CRoaring,2609129,2,load,0.011054,596,0.000913715,0,33
CRoaring,2609129,2,OR,0.016525,0,0,2609129,33
CRoaring,2609129,2,AND,0.006983,0,0,0,33
CRoaring,2609129,2,XOR,0.016654,0,0,2609129,33
CRoaring,2609129,2,load,0.011606,596,0.000913715,0,34
CRoaring,2609129,2,OR,0.022686,0,0,2609129,34
CRoaring,2609129,2,AND,0.007134,0,0,0,34
