backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,11,load,0.076812,8068,0.000161891,0,1
CRoaring,36244344,11,OR,1.1681,0,0,20122661,1
CRoaring,36244344,11,AND,0.906783,0,0,0,1
CRoaring,36244344,11,XOR,0.309935,0,0,20122661,1
CRoaring,36244344,11,multi-OR,0.298868,0,0,36244344,1
CRoaring,36244344,11,load,0.118409,8068,0.000161891,0,2
CRoaring,36244344,11,OR,0.290022,0,0,20122661,2
CRoaring,36244344,11,AND,0.153457,0,0,0,2
CRoaring,36244344,11,XOR,0.279157,0,0,20122661,2
CRoaring,36244344,11,multi-OR,0.318881,0,0,36244344,2
CRoaring,36244344,11,load,0.106558,8068,0.000161891,0,3
CRoaring,36244344,11,OR,0.278865,0,0,20122661,3
CRoaring,36244344,11,AND,0.152743,0,0,0,3
CRoaring,36244344,11,XOR,0.280643,0,0,20122661,3
CRoaring,36244344,11,multi-OR,0.30036,0,0,36244344,3
CRoaring,36244344,11,load,0.112871,8068,0.000161891,0,4
CRoaring,36244344,11,OR,0.280398,0,0,20122661,4
CRoaring,36244344,11,AND,0.152162,0,0,0,4
CRoaring,36244344,11,XOR,0.28547,0,0,20122661,4
CRoaring,36244344,11,multi-OR,0.340668,0,0,36244344,4
CRoaring,36244344,11,load,0.104117,8068,0.000161891,0,5
CRoaring,36244344,11,OR,0.27077,0,0,20122661,5
CRoaring,36244344,11,AND,0.157412,0,0,0,5
CRoaring,36244344,11,XOR,0.283638,0,0,20122661,5
CRoaring,36244344,11,multi-OR,0.299833,0,0,36244344,5
CRoaring,36244344,11,load,0.102751,8068,0.000161891,0,6
CRoaring,36244344,11,OR,0.293062,0,0,20122661,6
CRoaring,36244344,11,AND,0.151916,0,0,0,6
CRoaring,36244344,11,XOR,0.289054,0,0,20122661,6
CRoaring,36244344,11,multi-OR,0.308464,0,0,36244344,6
CRoaring,36244344,11,load,0.101946,8068,0.000161891,0,7
CRoaring,36244344,11,OR,0.274293,0,0,20122661,7
CRoaring,36244344,11,AND,0.16071,0,0,0,7
CRoaring,36244344,11,XOR,0.279951,0,0,20122661,7
CRoaring,36244344,11,multi-OR,0.316329,0,0,36244344,7
CRoaring,36244344,11,load,0.101726,8068,0.000161891,0,8
CRoaring,36244344,11,OR,0.300478,0,0,20122661,8
CRoaring,36244344,11,AND,0.151773,0,0,0,8
CRoaring,36244344,11,XOR,0.28157,0,0,20122661,8
CRoaring,36244344,11,multi-OR,0.305326,0,0,36244344,8
CRoaring,36244344,11,load,0.102406,8068,0.000161891,0,9
CRoaring,36244344,11,OR,0.276303,0,0,20122661,9
CRoaring,36244344,11,AND,0.15185,0,0,0,9
CRoaring,36244344,11,XOR,0.284378,0,0,20122661,9
CRoaring,36244344,11,multi-OR,0.300312,0,0,36244344,9
CRoaring,36244344,11,load,0.101703,8068,0.000161891,0,10
CRoaring,36244344,11,OR,0.269644,0,0,20122661,10
CRoaring,36244344,11,AND,0.15135,0,0,0,10
CRoaring,36244344,11,XOR,0.282945,0,0,20122661,10
