backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,234997,215,load,0.897522,291236,0.0461142,0,1
CRoaring,234997,215,OR,0.032046,0,0,100888,1
CRoaring,234997,215,AND,0.012432,0,0,0,1
CRoaring,234997,215,XOR,0.02221,0,0,100888,1
CRoaring,234997,215,multi-OR,0.425596,0,0,211073,1
CRoaring,234997,215,load,0.815446,291236,0.0461142,0,2
CRoaring,234997,215,OR,0.008462,0,0,100888,2
CRoaring,234997,215,AND,0.007821,0,0,0,2
CRoaring,234997,215,XOR,0.013547,0,0,100888,2
CRoaring,234997,215,multi-OR,0.400957,0,0,211073,2
CRoaring,234997,215,load,0.801597,291236,0.0461142,0,3
CRoaring,234997,215,OR,0.008273,0,0,100888,3
CRoaring,234997,215,AND,0.007765,0,0,0,3
CRoaring,234997,215,XOR,0.013515,0,0,100888,3
CRoaring,234997,215,multi-OR,0.390621,0,0,211073,3
CRoaring,234997,215,load,0.806665,291236,0.0461142,0,4
CRoaring,234997,215,OR,0.008302,0,0,100888,4
CRoaring,234997,215,AND,0.007624,0,0,0,4
CRoaring,234997,215,XOR,0.01321,0,0,100888,4
CRoaring,234997,215,multi-OR,0.3759,0,0,211073,4
CRoaring,234997,215,load,0.858152,291236,0.0461142,0,5
CRoaring,234997,215,OR,0.008301,0,0,100888,5
CRoaring,234997,215,AND,0.007705,0,0,0,5
CRoaring,234997,215,XOR,0.01326,0,0,100888,5
CRoaring,234997,215,multi-OR,0.382865,0,0,211073,5
CRoaring,234997,215,load,0.837371,291236,0.0461142,0,6
CRoaring,234997,215,OR,0.007954,0,0,100888,6
CRoaring,234997,215,AND,0.007585,0,0,0,6
CRoaring,234997,215,XOR,0.013236,0,0,100888,6
CRoaring,234997,215,multi-OR,0.397605,0,0,211073,6
CRoaring,234997,215,load,0.822723,291236,0.0461142,0,7
CRoaring,234997,215,OR,0.008288,0,0,100888,7
CRoaring,234997,215,AND,0.007469,0,0,0,7
CRoaring,234997,215,XOR,0.018696,0,0,100888,7
CRoaring,234997,215,multi-OR,0.385037,0,0,211073,7
CRoaring,234997,215,load,0.829208,291236,0.0461142,0,8
CRoaring,234997,215,OR,0.008288,0,0,100888,8
CRoaring,234997,215,AND,0.008241,0,0,0,8
CRoaring,234997,215,XOR,0.016507,0,0,100888,8
CRoaring,234997,215,multi-OR,0.377228,0,0,211073,8
CRoaring,234997,215,load,0.802851,291236,0.0461142,0,9
CRoaring,234997,215,OR,0.00826,0,0,100888,9
CRoaring,234997,215,AND,0.007623,0,0,0,9
CRoaring,234997,215,XOR,0.013514,0,0,100888,9
CRoaring,234997,215,multi-OR,0.387023,0,0,211073,9
CRoaring,234997,215,load,0.796668,291236,0.0461142,0,10
CRoaring,234997,215,OR,0.008354,0,0,100888,10
CRoaring,234997,215,AND,0.007379,0,0,0,10
CRoaring,234997,215,XOR,0.013151,0,0,100888,10
CRoaring,234997,215,multi-OR,0.407805,0,0,211073,10
CRoaring,234997,215,load,0.822669,291236,0.0461142,0,11
CRoaring,234997,215,OR,0.008352,0,0,100888,11
CRoaring,234997,215,AND,0.007653,0,0,0,11
CRoaring,234997,215,XOR,0.013626,0,0,100888,11
CRoaring,234997,215,multi-OR,0.386578,0,0,211073,11
CRoaring,234997,215,load,0.804987,291236,0.0461142,0,12
CRoaring,234997,215,OR,0.008097,0,0,100888,12
CRoaring,234997,215,AND,0.007361,0,0,0,12
CRoaring,234997,215,XOR,0.013315,0,0,100888,12
CRoaring,234997,215,multi-OR,0.394263,0,0,211073,12
CRoaring,234997,215,load,0.797254,291236,0.0461142,0,13
CRoaring,234997,215,OR,0.008198,0,0,100888,13
CRoaring,234997,215,AND,0.007826,0,0,0,13
CRoaring,234997,215,XOR,0.013328,0,0,100888,13
CRoaring,234997,215,multi-OR,0.389855,0,0,211073,13
CRoaring,234997,215,load,0.796734,291236,0.0461142,0,14
CRoaring,234997,215,OR,0.007797,0,0,100888,14
CRoaring,234997,215,AND,0.007429,0,0,0,14
CRoaring,234997,215,XOR,0.013242,0,0,100888,14
CRoaring,234997,215,multi-OR,0.400347,0,0,211073,14
CRoaring,234997,215,load,0.804423,291236,0.0461142,0,15
CRoaring,234997,215,OR,0.007627,0,0,100888,15
CRoaring,234997,215,AND,0.00728,0,0,0,15
CRoaring,234997,215,XOR,0.013152,0,0,100888,15
CRoaring,234997,215,multi-OR,0.377483,0,0,211073,15
CRoaring,234997,215,load,0.79928,291236,0.0461142,0,16
CRoaring,234997,215,OR,0.008251,0,0,100888,16
CRoaring,234997,215,AND,0.007476,0,0,0,16
CRoaring,234997,215,XOR,0.013021,0,0,100888,16
CRoaring,234997,215,multi-OR,0.399141,0,0,211073,16
CRoaring,234997,215,load,0.80235,291236,0.0461142,0,17
CRoaring,234997,215,OR,0.008117,0,0,100888,17
CRoaring,234997,215,AND,0.007756,0,0,0,17
CRoaring,234997,215,XOR,0.013223,0,0,100888,17
CRoaring,234997,215,multi-OR,0.381581,0,0,211073,17
CRoaring,234997,215,load,0.818768,291236,0.0461142,0,18
CRoaring,234997,215,OR,0.008494,0,0,100888,18
CRoaring,234997,215,AND,0.007608,0,0,0,18
CRoaring,234997,215,XOR,0.013612,0,0,100888,18
CRoaring,234997,215,multi-OR,0.378143,0,0,211073,18
CRoaring,234997,215,load,0.805767,291236,0.0461142,0,19
CRoaring,234997,215,OR,0.008115,0,0,100888,19
CRoaring,234997,215,AND,0.007517,0,0,0,19
CRoaring,234997,215,XOR,0.019052,0,0,100888,19
CRoaring,234997,215,multi-OR,0.38463,0,0,211073,19
CRoaring,234997,215,load,0.826877,291236,0.0461142,0,20
CRoaring,234997,215,OR,0.008711,0,0,100888,20
CRoaring,234997,215,AND,0.00785,0,0,0,20
CRoaring,234997,215,XOR,0.013531,0,0,100888,20
CRoaring,234997,215,multi-OR,0.390449,0,0,211073,20
CRoaring,234997,215,load,0.802754,291236,0.0461142,0,21
CRoaring,234997,215,OR,0.007938,0,0,100888,21
CRoaring,234997,215,AND,0.007711,0,0,0,21
CRoaring,234997,215,XOR,0.013343,0,0,100888,21
CRoaring,234997,215,multi-OR,0.390955,0,0,211073,21
CRoaring,234997,215,load,0.804874,291236,0.0461142,0,22
CRoaring,234997,215,OR,0.008256,0,0,100888,22
CRoaring,234997,215,AND,0.008163,0,0,0,22
CRoaring,234997,215,XOR,0.013314,0,0,100888,22
CRoaring,234997,215,multi-OR,0.388613,0,0,211073,22
CRoaring,234997,215,load,0.800956,291236,0.0461142,0,23
CRoaring,234997,215,OR,0.00778,0,0,100888,23
CRoaring,234997,215,AND,0.012686,0,0,0,23
CRoaring,234997,215,XOR,0.01343,0,0,100888,23
CRoaring,234997,215,multi-OR,0.388625,0,0,211073,23
CRoaring,234997,215,load,0.810562,291236,0.0461142,0,24
CRoaring,234997,215,OR,0.008371,0,0,100888,24
CRoaring,234997,215,AND,0.007775,0,0,0,24
CRoaring,234997,215,XOR,0.014454,0,0,100888,24
CRoaring,234997,215,multi-OR,0.413109,0,0,211073,24
CRoaring,234997,215,load,0.800595,291236,0.0461142,0,25
CRoaring,234997,215,OR,0.008015,0,0,100888,25
CRoaring,234997,215,AND,0.007596,0,0,0,25
CRoaring,234997,215,XOR,0.013182,0,0,100888,25
CRoaring,234997,215,multi-OR,0.397027,0,0,211073,25
CRoaring,234997,215,load,0.795286,291236,0.0461142,0,26
CRoaring,234997,215,OR,0.008013,0,0,100888,26
CRoaring,234997,215,AND,0.007396,0,0,0,26
CRoaring,234997,215,XOR,0.013302,0,0,100888,26
CRoaring,234997,215,multi-OR,0.383117,0,0,211073,26
CRoaring,234997,215,load,0.794258,291236,0.0461142,0,27
CRoaring,234997,215,OR,0.008422,0,0,100888,27
CRoaring,234997,215,AND,0.012462,0,0,0,27
CRoaring,234997,215,XOR,0.013653,0,0,100888,27
CRoaring,234997,215,multi-OR,0.387114,0,0,211073,27
CRoaring,234997,215,load,0.796364,291236,0.0461142,0,28
CRoaring,234997,215,OR,0.007783,0,0,100888,28
CRoaring,234997,215,AND,0.00771,0,0,0,28
CRoaring,234997,215,XOR,0.013294,0,0,100888,28
CRoaring,234997,215,multi-OR,0.39416,0,0,211073,28
CRoaring,234997,215,load,0.797573,291236,0.0461142,0,29
CRoaring,234997,215,OR,0.008002,0,0,100888,29
CRoaring,234997,215,AND,0.00779,0,0,0,29
CRoaring,234997,215,XOR,0.013244,0,0,100888,29
CRoaring,234997,215,multi-OR,0.385836,0,0,211073,29
CRoaring,234997,215,load,0.79726,291236,0.0461142,0,30
CRoaring,234997,215,OR,0.008062,0,0,100888,30
CRoaring,234997,215,AND,0.007711,0,0,0,30
CRoaring,234997,215,XOR,0.01317,0,0,100888,30
CRoaring,234997,215,multi-OR,0.388363,0,0,211073,30
CRoaring,234997,215,load,0.790951,291236,0.0461142,0,31
CRoaring,234997,215,OR,0.008092,0,0,100888,31
CRoaring,234997,215,AND,0.00776,0,0,0,31
CRoaring,234997,215,XOR,0.013207,0,0,100888,31
CRoaring,234997,215,multi-OR,0.384239,0,0,211073,31
CRoaring,234997,215,load,0.802041,291236,0.0461142,0,32
CRoaring,234997,215,OR,0.007922,0,0,100888,32
CRoaring,234997,215,AND,0.007605,0,0,0,32
CRoaring,234997,215,XOR,0.013227,0,0,100888,32
CRoaring,234997,215,multi-OR,0.394806,0,0,211073,32
CRoaring,234997,215,load,0.800489,291236,0.0461142,0,33
CRoaring,234997,215,OR,0.007908,0,0,100888,33
CRoaring,234997,215,AND,0.007195,0,0,0,33
CRoaring,234997,215,XOR,0.013347,0,0,100888,33
CRoaring,234997,215,multi-OR,0.381075,0,0,211073,33
CRoaring,234997,215,load,0.803514,291236,0.0461142,0,34
CRoaring,234997,215,OR,0.008152,0,0,100888,34
CRoaring,234997,215,AND,0.007518,0,0,0,34
CRoaring,234997,215,XOR,0.013327,0,0,100888,34
CRoaring,234997,215,multi-OR,0.39087,0,0,211073,34
CRoaring,234997,215,load,0.79341,291236,0.0461142,0,35
CRoaring,234997,215,OR,0.007863,0,0,100888,35
CRoaring,234997,215,AND,0.00724,0,0,0,35
CRoaring,234997,215,XOR,0.013313,0,0,100888,35
CRoaring,234997,215,multi-OR,0.406962,0,0,211073,35
CRoaring,234997,215,load,0.796601,291236,0.0461142,0,36
CRoaring,234997,215,OR,0.008556,0,0,100888,36
CRoaring,234997,215,AND,0.007574,0,0,0,36
CRoaring,234997,215,XOR,0.013218,0,0,100888,36
CRoaring,234997,215,multi-OR,0.381089,0,0,211073,36
CRoaring,234997,215,load,0.801612,291236,0.0461142,0,37
CRoaring,234997,215,OR,0.007811,0,0,100888,37
CRoaring,234997,215,AND,0.007624,0,0,0,37
CRoaring,234997,215,XOR,0.013252,0,0,100888,37
CRoaring,234997,215,multi-OR,0.370639,0,0,211073,37
CRoaring,234997,215,load,0.808484,291236,0.0461142,0,38
CRoaring,234997,215,OR,0.008068,0,0,100888,38
CRoaring,234997,215,AND,0.008073,0,0,0,38
CRoaring,234997,215,XOR,0.013327,0,0,100888,38
CRoaring,234997,215,multi-OR,0.39423,0,0,211073,38
CRoaring,234997,215,load,0.789299,291236,0.0461142,0,39
CRoaring,234997,215,OR,0.008223,0,0,100888,39
CRoaring,234997,215,AND,0.007439,0,0,0,39
CRoaring,234997,215,XOR,0.013259,0,0,100888,39
CRoaring,234997,215,multi-OR,0.387884,0,0,211073,39
CRoaring,234997,215,load,0.795919,291236,0.0461142,0,40
CRoaring,234997,215,OR,0.007867,0,0,100888,40
CRoaring,234997,215,AND,0.007559,0,0,0,40
CRoaring,234997,215,XOR,0.013173,0,0,100888,40
CRoaring,234997,215,multi-OR,0.40999,0,0,211073,40
CRoaring,234997,215,load,0.796386,291236,0.0461142,0,41
CRoaring,234997,215,OR,0.008033,0,0,100888,41
CRoaring,234997,215,AND,0.007817,0,0,0,41
CRoaring,234997,215,XOR,0.013202,0,0,100888,41
CRoaring,234997,215,multi-OR,0.401728,0,0,211073,41
CRoaring,234997,215,load,0.798508,291236,0.0461142,0,42
CRoaring,234997,215,OR,0.010874,0,0,100888,42
CRoaring,234997,215,AND,0.007823,0,0,0,42
CRoaring,234997,215,XOR,0.013552,0,0,100888,42
CRoaring,234997,215,multi-OR,0.38046,0,0,211073,42
CRoaring,234997,215,load,0.799462,291236,0.0461142,0,43
CRoaring,234997,215,OR,0.007777,0,0,100888,43
CRoaring,234997,215,AND,0.007689,0,0,0,43
CRoaring,234997,215,XOR,0.013136,0,0,100888,43
CRoaring,234997,215,multi-OR,0.404848,0,0,211073,43
CRoaring,234997,215,load,0.797094,291236,0.0461142,0,44
CRoaring,234997,215,OR,0.007928,0,0,100888,44
CRoaring,234997,215,AND,0.007587,0,0,0,44
CRoaring,234997,215,XOR,0.013193,0,0,100888,44
CRoaring,234997,215,multi-OR,0.383532,0,0,211073,44
CRoaring,234997,215,load,0.794024,291236,0.0461142,0,45
