backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,6,load,0.247385,788278,0.415707,0,1
CRoaring,2528312,6,OR,0.181321,0,0,2206089,1
CRoaring,2528312,6,AND,0.016779,0,0,0,1
CRoaring,2528312,6,XOR,0.149895,0,0,2206089,1
CRoaring,2528312,6,multi-OR,0.14744,0,0,2528312,1
CRoaring,2528312,6,load,0.15608,788278,0.415707,0,2
CRoaring,2528312,6,OR,0.040851,0,0,2206089,2
CRoaring,2528312,6,AND,0.013761,0,0,0,2
CRoaring,2528312,6,XOR,0.035693,0,0,2206089,2
CRoaring,2528312,6,multi-OR,0.142219,0,0,2528312,2
CRoaring,2528312,6,load,0.149389,788278,0.415707,0,3
CRoaring,2528312,6,OR,0.037701,0,0,2206089,3
CRoaring,2528312,6,AND,0.012506,0,0,0,3
CRoaring,2528312,6,XOR,0.062499,0,0,2206089,3
CRoaring,2528312,6,multi-OR,0.144895,0,0,2528312,3
CRoaring,2528312,6,load,0.147698,788278,0.415707,0,4
CRoaring,2528312,6,OR,0.037382,0,0,2206089,4
CRoaring,2528312,6,AND,0.012377,0,0,0,4
CRoaring,2528312,6,XOR,0.033117,0,0,2206089,4
CRoaring,2528312,6,multi-OR,0.148866,0,0,2528312,4
CRoaring,2528312,6,load,0.1515,788278,0.415707,0,5
CRoaring,2528312,6,OR,0.040701,0,0,2206089,5
CRoaring,2528312,6,AND,0.013072,0,0,0,5
CRoaring,2528312,6,XOR,0.03379,0,0,2206089,5
CRoaring,2528312,6,multi-OR,0.145586,0,0,2528312,5
CRoaring,2528312,6,load,0.145823,788278,0.415707,0,6
CRoaring,2528312,6,OR,0.036996,0,0,2206089,6
CRoaring,2528312,6,AND,0.012335,0,0,0,6
CRoaring,2528312,6,XOR,0.033539,0,0,2206089,6
CRoaring,2528312,6,multi-OR,0.1533,0,0,2528312,6
CRoaring,2528312,6,load,0.148649,788278,0.415707,0,7
CRoaring,2528312,6,OR,0.047016,0,0,2206089,7
CRoaring,2528312,6,AND,0.013324,0,0,0,7
CRoaring,2528312,6,XOR,0.038878,0,0,2206089,7
CRoaring,2528312,6,multi-OR,0.17408,0,0,2528312,7
CRoaring,2528312,6,load,0.16746,788278,0.415707,0,8
CRoaring,2528312,6,OR,0.041275,0,0,2206089,8
CRoaring,2528312,6,AND,0.011698,0,0,0,8
CRoaring,2528312,6,XOR,0.030947,0,0,2206089,8
