backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2963664,22,load,1.59893,3699028,0.453864,0,1
CRoaring,2963664,22,OR,0.335891,0,0,1040180,1
CRoaring,2963664,22,AND,0.14413,0,0,0,1
CRoaring,2963664,22,XOR,0.227418,0,0,1040180,1
CRoaring,2963664,22,multi-OR,1.29888,0,0,2963664,1
CRoaring,2963664,22,load,0.836318,3699028,0.453864,0,2
CRoaring,2963664,22,OR,0.121691,0,0,1040180,2
CRoaring,2963664,22,AND,0.136165,0,0,0,2
CRoaring,2963664,22,XOR,0.107942,0,0,1040180,2
CRoaring,2963664,22,multi-OR,1.33211,0,0,2963664,2
CRoaring,2963664,22,load,0.807148,3699028,0.453864,0,3
CRoaring,2963664,22,OR,0.125059,0,0,1040180,3
CRoaring,2963664,22,AND,0.136782,0,0,0,3
CRoaring,2963664,22,XOR,0.099408,0,0,1040180,3
CRoaring,2963664,22,multi-OR,1.30048,0,0,2963664,3
CRoaring,2963664,22,load,0.789391,3699028,0.453864,0,4
CRoaring,2963664,22,OR,0.120831,0,0,1040180,4
CRoaring,2963664,22,AND,0.163648,0,0,0,4
CRoaring,2963664,22,XOR,0.104125,0,0,1040180,4
CRoaring,2963664,22,multi-OR,1.29959,0,0,2963664,4
CRoaring,2963664,22,load,0.802787,3699028,0.453864,0,5
CRoaring,2963664,22,OR,0.119509,0,0,1040180,5
CRoaring,2963664,22,AND,0.147898,0,0,0,5
CRoaring,2963664,22,XOR,0.098475,0,0,1040180,5
CRoaring,2963664,22,multi-OR,1.32873,0,0,2963664,5
CRoaring,2963664,22,load,0.777917,3699028,0.453864,0,6
CRoaring,2963664,22,OR,0.14348,0,0,1040180,6
CRoaring,2963664,22,AND,0.138021,0,0,0,6
CRoaring,2963664,22,XOR,0.096021,0,0,1040180,6
CRoaring,2963664,22,multi-OR,1.30442,0,0,2963664,6
CRoaring,2963664,22,load,0.780605,3699028,0.453864,0,7
CRoaring,2963664,22,OR,0.120715,0,0,1040180,7
CRoaring,2963664,22,AND,0.143015,0,0,0,7
CRoaring,2963664,22,XOR,0.102346,0,0,1040180,7
CRoaring,2963664,22,multi-OR,1.33085,0,0,2963664,7
CRoaring,2963664,22,load,0.788089,3699028,0.453864,0,8
CRoaring,2963664,22,OR,0.112384,0,0,1040180,8
CRoaring,2963664,22,AND,0.136675,0,0,0,8
CRoaring,2963664,22,XOR,0.097057,0,0,1040180,8
CRoaring,2963664,22,multi-OR,1.30062,0,0,2963664,8
CRoaring,2963664,22,load,0.787381,3699028,0.453864,0,9
CRoaring,2963664,22,OR,0.119865,0,0,1040180,9
CRoaring,2963664,22,AND,0.140214,0,0,0,9
CRoaring,2963664,22,XOR,0.097979,0,0,1040180,9
CRoaring,2963664,22,multi-OR,1.29781,0,0,2963664,9
CRoaring,2963664,22,load,0.792315,3699028,0.453864,0,10
CRoaring,2963664,22,OR,0.11331,0,0,1040180,10
CRoaring,2963664,22,AND,0.133574,0,0,0,10
CRoaring,2963664,22,XOR,0.097005,0,0,1040180,10
CRoaring,2963664,22,multi-OR,1.29874,0,0,2963664,10
CRoaring,2963664,22,load,0.783014,3699028,0.453864,0,11
CRoaring,2963664,22,OR,0.117798,0,0,1040180,11
CRoaring,2963664,22,AND,0.133342,0,0,0,11
CRoaring,2963664,22,XOR,0.095746,0,0,1040180,11
CRoaring,2963664,22,multi-OR,1.31479,0,0,2963664,11
CRoaring,2963664,22,load,0.80191,3699028,0.453864,0,12
CRoaring,2963664,22,OR,0.118046,0,0,1040180,12
CRoaring,2963664,22,AND,0.133985,0,0,0,12
CRoaring,2963664,22,XOR,0.097445,0,0,1040180,12
CRoaring,2963664,22,multi-OR,1.29863,0,0,2963664,12
CRoaring,2963664,22,load,0.785889,3699028,0.453864,0,13
CRoaring,2963664,22,OR,0.114332,0,0,1040180,13
CRoaring,2963664,22,AND,0.13298,0,0,0,13
CRoaring,2963664,22,XOR,0.09614,0,0,1040180,13
CRoaring,2963664,22,multi-OR,1.32491,0,0,2963664,13
CRoaring,2963664,22,load,0.801882,3699028,0.453864,0,14
CRoaring,2963664,22,OR,0.118771,0,0,1040180,14
CRoaring,2963664,22,AND,0.141331,0,0,0,14
CRoaring,2963664,22,XOR,0.099444,0,0,1040180,14
CRoaring,2963664,22,multi-OR,1.29069,0,0,2963664,14
CRoaring,2963664,22,load,0.790789,3699028,0.453864,0,15
CRoaring,2963664,22,OR,0.124531,0,0,1040180,15
CRoaring,2963664,22,AND,0.138267,0,0,0,15
CRoaring,2963664,22,XOR,0.097668,0,0,1040180,15
CRoaring,2963664,22,multi-OR,1.29156,0,0,2963664,15
CRoaring,2963664,22,load,0.78802,3699028,0.453864,0,16
CRoaring,2963664,22,OR,0.119254,0,0,1040180,16
CRoaring,2963664,22,AND,0.13882,0,0,0,16
CRoaring,2963664,22,XOR,0.100775,0,0,1040180,16
CRoaring,2963664,22,multi-OR,1.32116,0,0,2963664,16
CRoaring,2963664,22,load,0.792453,3699028,0.453864,0,17
CRoaring,2963664,22,OR,0.116443,0,0,1040180,17
CRoaring,2963664,22,AND,0.137478,0,0,0,17
CRoaring,2963664,22,XOR,0.105293,0,0,1040180,17
CRoaring,2963664,22,multi-OR,1.29942,0,0,2963664,17
CRoaring,2963664,22,load,0.782062,3699028,0.453864,0,18
