backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.078336,12547,0.000923142,0,1
CRoaring,36244344,3,OR,0.79026,0,0,3313,1
CRoaring,36244344,3,AND,1.37448,0,0,0,1
CRoaring,36244344,3,XOR,0.194922,0,0,3313,1
CRoaring,36244344,3,multi-OR,0.063509,0,0,4844,1
CRoaring,36244344,3,OR_op,0.012103,0,0,3313,1
CRoaring,36244344,3,AND_op,0.001003,0,0,0,1
CRoaring,36244344,3,XOR_op,0.013419,0,0,3313,1
CRoaring,36244344,3,NOT_op,0.077482,0,0,36242603,1
CRoaring,36244344,3,OR_op_conv,0.18465,0,0,3313,1
CRoaring,36244344,3,AND_op_conv,0.16873,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.183959,0,0,3313,1
CRoaring,36244344,3,NOT_op_conv,0.459318,0,0,36242603,1
CRoaring,36244344,3,COMP_op_native,0.135202,0,0,36242772,1
CRoaring,36244344,3,COMP_op,0.540141,0,0,0,1
