backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,14835720,71,load,0.781089,931950,0.00707808,0,1
CRoaring,14835720,71,OR,0.33606,0,0,4570628,1
CRoaring,14835720,71,AND,0.447931,0,0,0,1
CRoaring,14835720,71,XOR,0.065314,0,0,4570628,1
CRoaring,14835720,71,multi-OR,1.7368,0,0,14835720,1
CRoaring,14835720,71,load,0.487448,931950,0.00707808,0,2
CRoaring,14835720,71,OR,0.112968,0,0,4570628,2
CRoaring,14835720,71,AND,0.046463,0,0,0,2
CRoaring,14835720,71,XOR,0.060753,0,0,4570628,2
CRoaring,14835720,71,multi-OR,1.7359,0,0,14835720,2
CRoaring,14835720,71,load,0.463187,931950,0.00707808,0,3
CRoaring,14835720,71,OR,0.085248,0,0,4570628,3
CRoaring,14835720,71,AND,0.045066,0,0,0,3
CRoaring,14835720,71,XOR,0.060394,0,0,4570628,3
CRoaring,14835720,71,multi-OR,1.70677,0,0,14835720,3
CRoaring,14835720,71,load,0.455098,931950,0.00707808,0,4
CRoaring,14835720,71,OR,0.084388,0,0,4570628,4
CRoaring,14835720,71,AND,0.045402,0,0,0,4
CRoaring,14835720,71,XOR,0.060477,0,0,4570628,4
CRoaring,14835720,71,multi-OR,1.71944,0,0,14835720,4
CRoaring,14835720,71,load,0.454486,931950,0.00707808,0,5
CRoaring,14835720,71,OR,0.084565,0,0,4570628,5
CRoaring,14835720,71,AND,0.049663,0,0,0,5
CRoaring,14835720,71,XOR,0.060479,0,0,4570628,5
CRoaring,14835720,71,multi-OR,1.69522,0,0,14835720,5
CRoaring,14835720,71,load,0.451402,931950,0.00707808,0,6
CRoaring,14835720,71,OR,0.088283,0,0,4570628,6
CRoaring,14835720,71,AND,0.045411,0,0,0,6
CRoaring,14835720,71,XOR,0.060219,0,0,4570628,6
CRoaring,14835720,71,multi-OR,1.69284,0,0,14835720,6
CRoaring,14835720,71,load,0.452817,931950,0.00707808,0,7
CRoaring,14835720,71,OR,0.09435,0,0,4570628,7
CRoaring,14835720,71,AND,0.045251,0,0,0,7
CRoaring,14835720,71,XOR,0.060126,0,0,4570628,7
CRoaring,14835720,71,multi-OR,1.69959,0,0,14835720,7
CRoaring,14835720,71,load,0.455902,931950,0.00707808,0,8
CRoaring,14835720,71,OR,0.092765,0,0,4570628,8
CRoaring,14835720,71,AND,0.045391,0,0,0,8
CRoaring,14835720,71,XOR,0.06054,0,0,4570628,8
CRoaring,14835720,71,multi-OR,1.68877,0,0,14835720,8
CRoaring,14835720,71,load,0.455441,931950,0.00707808,0,9
CRoaring,14835720,71,OR,0.085529,0,0,4570628,9
CRoaring,14835720,71,AND,0.044989,0,0,0,9
CRoaring,14835720,71,XOR,0.060239,0,0,4570628,9
CRoaring,14835720,71,multi-OR,1.71815,0,0,14835720,9
CRoaring,14835720,71,load,0.460242,931950,0.00707808,0,10
CRoaring,14835720,71,OR,0.123302,0,0,4570628,10
CRoaring,14835720,71,AND,0.052334,0,0,0,10
CRoaring,14835720,71,XOR,0.061423,0,0,4570628,10
CRoaring,14835720,71,multi-OR,1.72985,0,0,14835720,10
CRoaring,14835720,71,load,0.454798,931950,0.00707808,0,11
CRoaring,14835720,71,OR,0.084477,0,0,4570628,11
CRoaring,14835720,71,AND,0.045331,0,0,0,11
CRoaring,14835720,71,XOR,0.060517,0,0,4570628,11
CRoaring,14835720,71,multi-OR,1.69366,0,0,14835720,11
CRoaring,14835720,71,load,0.46447,931950,0.00707808,0,12
CRoaring,14835720,71,OR,0.084729,0,0,4570628,12
CRoaring,14835720,71,AND,0.045078,0,0,0,12
CRoaring,14835720,71,XOR,0.060218,0,0,4570628,12
CRoaring,14835720,71,multi-OR,1.68061,0,0,14835720,12
CRoaring,14835720,71,load,0.450916,931950,0.00707808,0,13
