backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,4523930,3,load,0.024414,57,3.35991e-05,0,1
CRoaring,4523930,3,OR,0.047005,0,0,1043,1
CRoaring,4523930,3,AND,0.202697,0,0,0,1
CRoaring,4523930,3,XOR,0.012077,0,0,1043,1
CRoaring,4523930,3,multi-OR,0.001044,0,0,1505,1
CRoaring,4523930,3,OR_op,8.1e-05,0,0,1043,1
CRoaring,4523930,3,AND_op,6e-05,0,0,0,1
CRoaring,4523930,3,XOR_op,8.6e-05,0,0,1043,1
CRoaring,4523930,3,NOT_op,0.0031,0,0,4523390,1
CRoaring,4523930,3,OR_op_conv,0.011767,0,0,1043,1
CRoaring,4523930,3,AND_op_conv,0.011733,0,0,0,1
CRoaring,4523930,3,XOR_op_conv,0.011763,0,0,1043,1
CRoaring,4523930,3,NOT_op_conv,0.028917,0,0,4523390,1
CRoaring,4523930,3,COMP_op_native,0.002602,0,0,4523427,1
CRoaring,4523930,3,COMP_op,0.02833,0,0,0,1
