backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,132,load,3.12961,4890838,0.117238,0,1
CRoaring,2528312,132,OR,0.348457,0,0,324324,1
CRoaring,2528312,132,AND,0.083063,0,0,0,1
CRoaring,2528312,132,XOR,0.315162,0,0,324324,1
CRoaring,2528312,132,multi-OR,3.24005,0,0,2456218,1
CRoaring,2528312,132,load,1.88889,4890838,0.117238,0,2
CRoaring,2528312,132,OR,0.138407,0,0,324324,2
CRoaring,2528312,132,AND,0.080279,0,0,0,2
CRoaring,2528312,132,XOR,0.191817,0,0,324324,2
CRoaring,2528312,132,multi-OR,3.27116,0,0,2456218,2
CRoaring,2528312,132,load,1.66039,4890838,0.117238,0,3
CRoaring,2528312,132,OR,0.128182,0,0,324324,3
CRoaring,2528312,132,AND,0.077363,0,0,0,3
CRoaring,2528312,132,XOR,0.189805,0,0,324324,3
CRoaring,2528312,132,multi-OR,3.23137,0,0,2456218,3
CRoaring,2528312,132,load,1.64473,4890838,0.117238,0,4
CRoaring,2528312,132,OR,0.148269,0,0,324324,4
CRoaring,2528312,132,AND,0.077919,0,0,0,4
CRoaring,2528312,132,XOR,0.189412,0,0,324324,4
CRoaring,2528312,132,multi-OR,3.31374,0,0,2456218,4
CRoaring,2528312,132,load,1.59432,4890838,0.117238,0,5
CRoaring,2528312,132,OR,0.132317,0,0,324324,5
CRoaring,2528312,132,AND,0.079801,0,0,0,5
CRoaring,2528312,132,XOR,0.190182,0,0,324324,5
CRoaring,2528312,132,multi-OR,3.23828,0,0,2456218,5
CRoaring,2528312,132,load,1.65924,4890838,0.117238,0,6
CRoaring,2528312,132,OR,0.144053,0,0,324324,6
CRoaring,2528312,132,AND,0.078552,0,0,0,6
CRoaring,2528312,132,XOR,0.193754,0,0,324324,6
CRoaring,2528312,132,multi-OR,3.31416,0,0,2456218,6
CRoaring,2528312,132,load,1.65081,4890838,0.117238,0,7
CRoaring,2528312,132,OR,0.141614,0,0,324324,7
CRoaring,2528312,132,AND,0.080498,0,0,0,7
CRoaring,2528312,132,XOR,0.189365,0,0,324324,7
CRoaring,2528312,132,multi-OR,3.24092,0,0,2456218,7
CRoaring,2528312,132,load,1.59306,4890838,0.117238,0,8
CRoaring,2528312,132,OR,0.134511,0,0,324324,8
CRoaring,2528312,132,AND,0.079445,0,0,0,8
CRoaring,2528312,132,XOR,0.190578,0,0,324324,8
CRoaring,2528312,132,multi-OR,3.22764,0,0,2456218,8
CRoaring,2528312,132,load,1.5888,4890838,0.117238,0,9
CRoaring,2528312,132,OR,0.132545,0,0,324324,9
CRoaring,2528312,132,AND,0.075993,0,0,0,9
CRoaring,2528312,132,XOR,0.189788,0,0,324324,9
CRoaring,2528312,132,multi-OR,3.28764,0,0,2456218,9
CRoaring,2528312,132,load,1.6161,4890838,0.117238,0,10
CRoaring,2528312,132,OR,0.134886,0,0,324324,10
CRoaring,2528312,132,AND,0.076928,0,0,0,10
CRoaring,2528312,132,XOR,0.190741,0,0,324324,10
CRoaring,2528312,132,multi-OR,3.28315,0,0,2456218,10
CRoaring,2528312,132,load,1.63981,4890838,0.117238,0,11
CRoaring,2528312,132,OR,0.132034,0,0,324324,11
CRoaring,2528312,132,AND,0.080017,0,0,0,11
CRoaring,2528312,132,XOR,0.189804,0,0,324324,11
CRoaring,2528312,132,multi-OR,3.25796,0,0,2456218,11
CRoaring,2528312,132,load,1.60462,4890838,0.117238,0,12
CRoaring,2528312,132,OR,0.132323,0,0,324324,12
CRoaring,2528312,132,AND,0.083867,0,0,0,12
CRoaring,2528312,132,XOR,0.189837,0,0,324324,12
CRoaring,2528312,132,multi-OR,3.2481,0,0,2456218,12
CRoaring,2528312,132,load,1.62481,4890838,0.117238,0,13
CRoaring,2528312,132,OR,0.154213,0,0,324324,13
CRoaring,2528312,132,AND,0.078472,0,0,0,13
CRoaring,2528312,132,XOR,0.194665,0,0,324324,13
CRoaring,2528312,132,multi-OR,3.21351,0,0,2456218,13
CRoaring,2528312,132,load,1.62375,4890838,0.117238,0,14
CRoaring,2528312,132,OR,0.129433,0,0,324324,14
CRoaring,2528312,132,AND,0.076691,0,0,0,14
CRoaring,2528312,132,XOR,0.19375,0,0,324324,14
CRoaring,2528312,132,multi-OR,3.28123,0,0,2456218,14
CRoaring,2528312,132,load,1.61218,4890838,0.117238,0,15
CRoaring,2528312,132,OR,0.140551,0,0,324324,15
CRoaring,2528312,132,AND,0.079927,0,0,0,15
CRoaring,2528312,132,XOR,0.188438,0,0,324324,15
CRoaring,2528312,132,multi-OR,3.23007,0,0,2456218,15
CRoaring,2528312,132,load,1.62527,4890838,0.117238,0,16
CRoaring,2528312,132,OR,0.140358,0,0,324324,16
CRoaring,2528312,132,AND,0.079697,0,0,0,16
CRoaring,2528312,132,XOR,0.207189,0,0,324324,16
CRoaring,2528312,132,multi-OR,3.26596,0,0,2456218,16
CRoaring,2528312,132,load,1.62715,4890838,0.117238,0,17
CRoaring,2528312,132,OR,0.137685,0,0,324324,17
CRoaring,2528312,132,AND,0.080142,0,0,0,17
CRoaring,2528312,132,XOR,0.188867,0,0,324324,17
CRoaring,2528312,132,multi-OR,3.2605,0,0,2456218,17
CRoaring,2528312,132,load,1.60945,4890838,0.117238,0,18
CRoaring,2528312,132,OR,0.128562,0,0,324324,18
CRoaring,2528312,132,AND,0.078424,0,0,0,18
CRoaring,2528312,132,XOR,0.194271,0,0,324324,18
CRoaring,2528312,132,multi-OR,3.29337,0,0,2456218,18
CRoaring,2528312,132,load,1.61878,4890838,0.117238,0,19
CRoaring,2528312,132,OR,0.150931,0,0,324324,19
CRoaring,2528312,132,AND,0.080589,0,0,0,19
CRoaring,2528312,132,XOR,0.193266,0,0,324324,19
CRoaring,2528312,132,multi-OR,3.26202,0,0,2456218,19
CRoaring,2528312,132,load,1.60282,4890838,0.117238,0,20
CRoaring,2528312,132,OR,0.129007,0,0,324324,20
CRoaring,2528312,132,AND,0.081088,0,0,0,20
CRoaring,2528312,132,XOR,0.195851,0,0,324324,20
CRoaring,2528312,132,multi-OR,3.23769,0,0,2456218,20
CRoaring,2528312,132,load,1.59684,4890838,0.117238,0,21
CRoaring,2528312,132,OR,0.133225,0,0,324324,21
CRoaring,2528312,132,AND,0.079896,0,0,0,21
CRoaring,2528312,132,XOR,0.19864,0,0,324324,21
CRoaring,2528312,132,multi-OR,3.34314,0,0,2456218,21
CRoaring,2528312,132,load,1.62074,4890838,0.117238,0,22
CRoaring,2528312,132,OR,0.140269,0,0,324324,22
CRoaring,2528312,132,AND,0.079116,0,0,0,22
CRoaring,2528312,132,XOR,0.199341,0,0,324324,22
CRoaring,2528312,132,multi-OR,3.20783,0,0,2456218,22
CRoaring,2528312,132,load,1.60698,4890838,0.117238,0,23
CRoaring,2528312,132,OR,0.13344,0,0,324324,23
CRoaring,2528312,132,AND,0.079144,0,0,0,23
CRoaring,2528312,132,XOR,0.200601,0,0,324324,23
CRoaring,2528312,132,multi-OR,3.30393,0,0,2456218,23
CRoaring,2528312,132,load,1.63857,4890838,0.117238,0,24
CRoaring,2528312,132,OR,0.129203,0,0,324324,24
CRoaring,2528312,132,AND,0.081673,0,0,0,24
CRoaring,2528312,132,XOR,0.194882,0,0,324324,24
CRoaring,2528312,132,multi-OR,3.23498,0,0,2456218,24
CRoaring,2528312,132,load,1.60871,4890838,0.117238,0,25
CRoaring,2528312,132,OR,0.128858,0,0,324324,25
CRoaring,2528312,132,AND,0.07841,0,0,0,25
CRoaring,2528312,132,XOR,0.19766,0,0,324324,25
CRoaring,2528312,132,multi-OR,3.20626,0,0,2456218,25
CRoaring,2528312,132,load,1.61198,4890838,0.117238,0,26
CRoaring,2528312,132,OR,0.128652,0,0,324324,26
CRoaring,2528312,132,AND,0.077291,0,0,0,26
CRoaring,2528312,132,XOR,0.18947,0,0,324324,26
CRoaring,2528312,132,multi-OR,3.25908,0,0,2456218,26
CRoaring,2528312,132,load,1.64646,4890838,0.117238,0,27
CRoaring,2528312,132,OR,0.138542,0,0,324324,27
CRoaring,2528312,132,AND,0.079862,0,0,0,27
CRoaring,2528312,132,XOR,0.197868,0,0,324324,27
CRoaring,2528312,132,multi-OR,3.20623,0,0,2456218,27
CRoaring,2528312,132,load,1.62482,4890838,0.117238,0,28
CRoaring,2528312,132,OR,0.128986,0,0,324324,28
CRoaring,2528312,132,AND,0.08046,0,0,0,28
CRoaring,2528312,132,XOR,0.189782,0,0,324324,28
CRoaring,2528312,132,multi-OR,3.20366,0,0,2456218,28
CRoaring,2528312,132,load,1.60338,4890838,0.117238,0,29
CRoaring,2528312,132,OR,0.129844,0,0,324324,29
CRoaring,2528312,132,AND,0.084835,0,0,0,29
CRoaring,2528312,132,XOR,0.191466,0,0,324324,29
CRoaring,2528312,132,multi-OR,3.2074,0,0,2456218,29
CRoaring,2528312,132,load,1.61477,4890838,0.117238,0,30
CRoaring,2528312,132,OR,0.1399,0,0,324324,30
CRoaring,2528312,132,AND,0.077871,0,0,0,30
CRoaring,2528312,132,XOR,0.189529,0,0,324324,30
CRoaring,2528312,132,multi-OR,3.30728,0,0,2456218,30
CRoaring,2528312,132,load,1.64908,4890838,0.117238,0,31
CRoaring,2528312,132,OR,0.136904,0,0,324324,31
CRoaring,2528312,132,AND,0.084903,0,0,0,31
CRoaring,2528312,132,XOR,0.191613,0,0,324324,31
CRoaring,2528312,132,multi-OR,3.29198,0,0,2456218,31
