group,case,operation,native_cr_ms,same_run_delivered_cr_ms,historical_delivered_cr_ms,native_over_same_run_delivered,native_speedup_from_removing_delivery,delivery_overhead_ms,delivery_share_pct,same_run_delivered_over_historical,replicates,native_source_operation,delivered_source_operation
earth,month,OR,0.340162,0.648432,0.621658,0.5245916302711773,1.906244671656446,0.30827,47.540836972882275,1.0430686969362575,3,OR_op,OR_op_conv
earth,month,AND,0.36863,0.473039,0.507731,0.7792803553195403,1.2832352223096328,0.10440899999999997,22.07196446804597,0.9316724801125004,3,AND_op,AND_op_conv
earth,month,NOT,0.339168,0.644668,0.622767,0.5261126657442281,1.9007335597697894,0.3055,47.38873342557719,1.035167245534847,3,NOT_op,NOT_op_conv
earth,month,COMP,1.139,1.44569,1.383,0.7878590845893657,1.269262510974539,0.3066899999999999,21.214091541063432,1.0453289949385394,3,COMP_op_native,COMP_op
earth,qflag,OR,0.481553,1.2205,1.20007,0.39455387136419506,2.5345081434442314,0.7389469999999999,60.54461286358049,1.0170240069329288,3,OR_op,OR_op_conv
earth,qflag,AND,0.630998,0.733735,0.744632,0.8599807832528091,1.1628166808769602,0.10273700000000008,14.001921674719085,0.9853659257190129,3,AND_op,AND_op_conv
earth,qflag,NOT,0.748963,1.68409,1.65797,0.44472860714094853,2.2485623455364285,0.935127,55.52713928590515,1.015754205444007,3,NOT_op,NOT_op_conv
earth,qflag,COMP,1.4082,1.66563,1.64772,0.8454458673294789,1.1828078397954835,0.25743000000000005,15.45541326705211,1.0108695652173911,3,COMP_op_native,COMP_op
earth,decade,OR,0.18998,0.572073,0.618348,0.3320904849555913,3.01122749763133,0.382093,66.79095150444086,0.9251635001649557,3,OR_op,OR_op_conv
earth,decade,AND,0.135092,0.226046,0.231839,0.5976305707687816,1.673274509223344,0.09095400000000001,40.23694292312185,0.9750128321809531,3,AND_op,AND_op_conv
earth,decade,NOT,0.163583,0.687307,0.688357,0.23800572378864177,4.201579626244781,0.523724,76.19942762113583,0.9984746287173661,3,NOT_op,NOT_op_conv
earth,decade,COMP,0.814976,1.37869,1.41374,0.5911234577751344,1.6916939885346316,0.5637139999999999,40.88765422248656,0.9752076053588354,3,COMP_op_native,COMP_op
earth,temp_bin,OR,0.706805,1.18311,1.17835,0.5974127511389473,1.673884593346114,0.4763050000000001,40.25872488610527,1.004039546823949,3,OR_op,OR_op_conv
earth,temp_bin,AND,0.333905,0.435969,0.425582,0.7658916115595376,1.3056677797577154,0.10206399999999999,23.410838844046246,1.0244065773458464,3,AND_op,AND_op_conv
earth,temp_bin,NOT,0.483059,0.790828,0.769665,0.6108268801812784,1.6371250716786148,0.30776899999999996,38.91731198187216,1.0274963782944526,3,NOT_op,NOT_op_conv
earth,temp_bin,COMP,2.49682,2.84558,2.76786,0.8774379915518102,1.1396816750907153,0.34875999999999996,12.25620084481898,1.028079454885724,3,COMP_op_native,COMP_op
earth,year,OR,0.1249,0.371054,0.380769,0.3366086876842724,2.970808646917534,0.24615399999999998,66.33913123157275,0.9744858431227331,3,OR_op,OR_op_conv
earth,year,AND,0.087669,0.179493,0.175978,0.4884257324798181,2.0473941758204157,0.09182400000000002,51.15742675201819,1.0199740876700498,3,AND_op,AND_op_conv
earth,year,NOT,0.152047,0.667755,0.665317,0.2276987817388114,4.391767019408473,0.515708,77.23012182611888,1.003664418615487,3,NOT_op,NOT_op_conv
earth,year,COMP,0.615394,1.15831,1.15412,0.5312860978494531,1.8822250460680474,0.542916,46.87139021505469,1.0036304717013829,3,COMP_op_native,COMP_op
job,mc_ctype,OR,0.000858,0.015615,0.015715,0.054947166186359274,18.1993006993007,0.014757000000000001,94.50528338136407,0.9936366528794146,3,OR_op,OR_op_conv
job,mc_ctype,AND,0.000102,0.006854,0.006859,0.014881820834549168,67.19607843137254,0.006752,98.51181791654508,0.9992710307625019,3,AND_op,AND_op_conv
