group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms,cf1,throughput_ops_s
cluster,iid,100000000,OR,DDC,1.44766,1.0,DDC,OR_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,1.44494,1.52908,1.0101,690.7699321663927
cluster,iid,100000000,OR,CRoaring,2.08199,1.4381760910711077,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/cluster/r*_iid.csv,3,2.08112,2.08767,1.0101,480.3097036969438
cluster,iid,100000000,OR,WAH,30.638,21.16380918171394,DDC,OR_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,30.6017,30.7074,1.0101,32.63920621450486
cluster,iid,100000000,OR,EWAH,19.9484,13.779754914828068,DDC,OR_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,19.914,20.0063,1.0101,50.129333680896714
cluster,iid,100000000,AND,DDC,1.11105,1.0,CRoaring,AND_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,1.10743,1.13709,1.0101,900.0495027226497
cluster,iid,100000000,AND,CRoaring,0.374751,0.3372944511948157,CRoaring,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/cluster/r*_iid.csv,3,0.374009,0.375714,1.0101,2668.4385098371986
cluster,iid,100000000,AND,WAH,17.3022,15.572836506007828,CRoaring,AND_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,17.2887,17.4908,1.0101,57.796118412687406
cluster,iid,100000000,AND,EWAH,10.3164,9.285270689887943,CRoaring,AND_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,10.276,10.3786,1.0101,96.93303865689582
cluster,iid,100000000,NOT,DDC,0.268726,1.0,DDC,NOT_op,R2W1_clustering_ops_v2_20260813/results/operation_sweep_crrun.csv,3,0.267844,0.27088,1.0101,3721.2625499579494
cluster,iid,100000000,NOT,CRoaring,1.676,6.236836033729523,DDC,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/cluster/r*_iid.csv,3,1.67269,1.67648,1.0101,596.6587112171838
