backend,density_A,density_B,or_time_ms
DDC,0.1%,0.1%,1.27066
DDC,0.1%,0.5%,1.29155
DDC,0.1%,1%,1.28815
DDC,0.1%,2%,1.29996
DDC,0.1%,5%,1.31379
DDC,0.1%,10%,1.36539
DDC,0.1%,20%,1.36253
DDC,0.1%,30%,1.37273
DDC,0.1%,40%,1.3482
DDC,0.1%,50%,1.34959
DDC,0.5%,0.1%,1.29155
DDC,0.5%,0.5%,1.308
DDC,0.5%,1%,1.32002
DDC,0.5%,2%,1.32258
DDC,0.5%,5%,1.34005
DDC,0.5%,10%,1.38163
DDC,0.5%,20%,1.39973
DDC,0.5%,30%,1.37255
DDC,0.5%,40%,1.39848
DDC,0.5%,50%,1.39462
DDC,1%,0.1%,1.28815
DDC,1%,0.5%,1.32002
DDC,1%,1%,1.35318
DDC,1%,2%,1.33503
DDC,1%,5%,1.35818
DDC,1%,10%,1.36099
DDC,1%,20%,1.40373
DDC,1%,30%,1.41274
DDC,1%,40%,1.37118
DDC,1%,50%,1.36728
DDC,2%,0.1%,1.29996
DDC,2%,0.5%,1.32258
DDC,2%,1%,1.33503
DDC,2%,2%,1.35338
DDC,2%,5%,1.37706
DDC,2%,10%,1.37228
DDC,2%,20%,1.41539
DDC,2%,30%,1.3987
DDC,2%,40%,1.38877
DDC,2%,50%,1.39235
DDC,5%,0.1%,1.31379
DDC,5%,0.5%,1.34005
DDC,5%,1%,1.35818
DDC,5%,2%,1.37706
DDC,5%,5%,1.39297
DDC,5%,10%,1.38766
DDC,5%,20%,1.41652
DDC,5%,30%,1.41992
DDC,5%,40%,1.46224
DDC,5%,50%,1.45205
DDC,10%,0.1%,1.36539
DDC,10%,0.5%,1.38163
DDC,10%,1%,1.36099
DDC,10%,2%,1.37228
DDC,10%,5%,1.38766
DDC,10%,10%,1.42719
DDC,10%,20%,1.46117
DDC,10%,30%,1.46761
DDC,10%,40%,1.52002
DDC,10%,50%,1.49957
DDC,20%,0.1%,1.36253
DDC,20%,0.5%,1.39973
DDC,20%,1%,1.40373
DDC,20%,2%,1.41539
DDC,20%,5%,1.41652
