group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
earth,month,21844315,OR,DDC,0.342943,1.0,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.342943,0.342943
earth,month,21844315,OR,CRoaring,0.340162,0.9918907806836705,CRoaring,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_month.csv,3,0.339834,0.340445
earth,month,21844315,OR,WAH,3.44284,10.039102708030198,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,3.44284,3.44284
earth,month,21844315,OR,EWAH,1.24,3.615761219794543,CRoaring,OR_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.24,1.24
earth,month,21844315,AND,DDC,0.365995,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.365995,0.365995
earth,month,21844315,AND,CRoaring,0.36863,1.0071995519064467,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_month.csv,3,0.36741,0.37208
earth,month,21844315,AND,WAH,3.37959,9.233978606265111,DDC,AND_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,3.37959,3.37959
earth,month,21844315,AND,EWAH,1.32329,3.6155958414732443,DDC,AND_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.32329,1.32329
earth,month,21844315,NOT,DDC,0.239959,1.0,DDC,NOT_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.239959,0.239959
earth,month,21844315,NOT,CRoaring,0.339168,1.4134414629165817,DDC,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_month.csv,3,0.338841,0.340822
earth,month,21844315,NOT,WAH,0.304399,1.2685458765872502,DDC,NOT_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.304399,0.304399
earth,month,21844315,NOT,EWAH,1.00129,4.172754512229172,DDC,NOT_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.00129,1.00129
earth,month,21844315,COMP,DDC,0.996376,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.996376,0.996376
earth,month,21844315,COMP,CRoaring,1.139,1.1431427493235484,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_month.csv,3,1.13635,1.13918
earth,month,21844315,COMP,WAH,7.68635,7.714306647289778,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,7.68635,7.68635
earth,month,21844315,COMP,EWAH,4.68572,4.702762812432254,DDC,COMP_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,4.68572,4.68572
earth,qflag,21844315,OR,DDC,0.17351,1.0,DDC,OR_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.17351,0.17351
earth,qflag,21844315,OR,CRoaring,0.481553,2.7753616506253245,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_qflag.csv,3,0.477919,0.482185
earth,qflag,21844315,OR,WAH,1.92778,11.110483545616967,DDC,OR_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,1.92778,1.92778
earth,qflag,21844315,OR,EWAH,1.34487,7.750965362226961,DDC,OR_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.34487,1.34487
earth,qflag,21844315,AND,DDC,0.11619,1.0,DDC,AND_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.11619,0.11619
earth,qflag,21844315,AND,CRoaring,0.630998,5.430742748945692,DDC,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_qflag.csv,3,0.630533,0.632405
