group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
job,mc_ctype,2609129,OR,DDC,0.000191,1.0,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000191,0.000191
job,mc_ctype,2609129,OR,CRoaring,0.000858,4.492146596858639,EWAH,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mc_ctype.csv,3,0.000855,0.000862
job,mc_ctype,2609129,OR,WAH,0.000301,1.575916230366492,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000301,0.000301
job,mc_ctype,2609129,OR,EWAH,8.3e-05,0.4345549738219895,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,8.3e-05,8.3e-05
job,mc_ctype,2609129,AND,DDC,0.000135,1.0,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000135,0.000135
job,mc_ctype,2609129,AND,CRoaring,0.000102,0.7555555555555555,EWAH,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mc_ctype.csv,3,0.000101,0.000106
job,mc_ctype,2609129,AND,WAH,0.000298,2.2074074074074073,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000298,0.000298
job,mc_ctype,2609129,AND,EWAH,8.8e-05,0.6518518518518518,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,8.8e-05,8.8e-05
job,mc_ctype,2609129,NOT,DDC,0.000391,1.0,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000391,0.000391
job,mc_ctype,2609129,NOT,CRoaring,0.002526,6.460358056265984,EWAH,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mc_ctype.csv,3,0.002513,0.002552
job,mc_ctype,2609129,NOT,WAH,0.000137,0.35038363171355497,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000137,0.000137
job,mc_ctype,2609129,NOT,EWAH,7.4e-05,0.18925831202046034,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,7.4e-05,7.4e-05
job,mc_ctype,2609129,COMP,DDC,0.00091,1.0,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.00091,0.00091
job,mc_ctype,2609129,COMP,CRoaring,0.005266,5.786813186813187,EWAH,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_mc_ctype.csv,3,0.005184,0.00528
