field,slug,n,c,memberships,cr_plain_payload_bytes,cr_run_payload_bytes,cr_plain_mib,cr_run_mib,run_reduction_pct
movie_companies.company_type_id,mc_ctype,2609129,2,2609129,336218,590,0.32064247131347656,0.0005626678466796875,99.82451861589801
title.kind_id,kind,2528312,6,2528312,788798,788260,0.7522563934326172,0.7517433166503906,0.0682050410878321
cast_info.role_id,role,36244344,11,36244344,4620605,8035,4.406552314758301,0.007662773132324219,99.82610502304352
person_info.info_type_id,pi_itype,2963664,22,2963664,3981468,3698962,3.7970237731933594,3.5276050567626953,7.095523560656525
movie_info.info_type_id,mi_itype,14835720,71,14835720,2846649,931737,2.714776039123535,0.8885736465454102,67.26898890590304
title.production_year,year,2528312,132,2456218,4890188,4890188,4.663646697998047,4.663646697998047,0.0
company_name.country_code,country,234997,215,211073,289281,289281,0.2758798599243164,0.2758798599243164,0.0
movie_keyword.movie_id,movie_keyword_movie_id,4523930,476794,4523930,14755224,6576885,14.071678161621094,6.2722063064575195,55.42673564291535
cast_info.movie_id,cast_info_movie_id,36244344,2331601,36244344,156621645,156591135,149.36604022979736,149.3369436264038,0.01948006611729447
cast_info.person_id,cast_info_person_id,36244344,4051810,36244344,116250528,55473501,110.86514282226562,52.903653144836426,52.28107609111247
TOTAL,TOTAL,,,,305380604,229248574,291.23363876342773,218.62847709655762,24.930211350292563
