field,slug,n,cardinality,ddc_payload_bytes,ddc_mib,ddc_display,croaring_run_payload_bytes,croaring_run_mib,croaring_run_display,croaring_inc_fraction,croaring_inc_display,winner
movie_companies.company_type_id,mc_ctype,2609129,2,326798.0,0.3116588592529297,0.3,590,0.0005626678466796875,590 B,-0.9981946033941457,approximately -100%,CRoaring
title.kind_id,kind,2528312,6,628929.875,0.5997942686080933,0.6,788260,0.7517433166503906,0.8,0.2533352784362486,+25%,DDC
cast_info.role_id,role,36244344,11,4539829.75,4.329519033432007,4.3,8035,0.007662773132324219,0.008,-0.9982301098405728,approximately -100%,CRoaring
person_info.info_type_id,pi_itype,2963664,22,2378254.125,2.2680798768997192,2.3,3698962,3.5276050567626953,3.5,0.5553266411342817,+56%,DDC
movie_info.info_type_id,mi_itype,14835720,71,2344486.125,2.235876202583313,2.2,931737,0.8885736465454102,0.9,-0.6025837005113435,-60%,CRoaring
title.production_year,year,2528312,132,3885301.75,3.705312490463257,3.7,4890188,4.663646697998047,4.7,0.2586378908665201,+26%,DDC
company_name.country_code,country,234997,215,240903.75,0.22974371910095215,0.2,289281,0.2758798599243164,0.3,0.20081567846079595,+20%,DDC
movie_keyword.movie_id,movie_keyword_movie_id,4523930,476794,2486088.5,2.3709187507629395,2.4,6576885,6.2722063064575195,6.3,1.6454750102419924,+1.6x,DDC
cast_info.movie_id,cast_info_movie_id,36244344,2331601,141190914.75,134.65014910697937,134.7,156591135,149.3369436264038,149.3,0.10907373379702534,+11%,DDC
cast_info.person_id,cast_info_person_id,36244344,4051810,25338671.25,24.16483998298645,24.2,55473501,52.903653144836426,52.9,1.189282162931097,+1.2x,DDC
TOTAL,TOTAL,,,183360177.875,174.86589229106903,174.9,229248574,218.62847709655762,218.6,0.25026369769494305,+25%,DDC
