backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,146.43,201222000,0.160978,0,1
CRoaring,100000000,100,OR,12.4352,0,0,2000000,1
CRoaring,100000000,100,AND,1.65995,0,0,0,1
CRoaring,100000000,100,XOR,5.91515,0,0,2000000,1
CRoaring,100000000,100,multi-OR,199.009,0,0,100000000,1
CRoaring,100000000,100,OR_op,2.0667,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.957671,0,0,0,1
CRoaring,100000000,100,XOR_op,2.2835,0,0,2000000,1
CRoaring,100000000,100,NOT_op,1.64311,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,3.51049,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,1.41881,0,0,0,1
CRoaring,100000000,100,XOR_op_conv,3.71095,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,3.02396,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,7.33692,0,0,99000000,1
CRoaring,100000000,100,COMP_op,8.81213,0,0,0,1
