backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),100000000,100,load,193.563,197577654,0.158062,0,1
DDC (New),100000000,100,OR,6.53923,0,0,2000000,1
DDC (New),100000000,100,AND,6.60395,0,0,0,1
DDC (New),100000000,100,XOR,6.5858,0,0,2000000,1
DDC (New),100000000,100,multi-OR,149.683,0,0,100000000,1
DDC (New),100000000,100,OR_op,1.41782,0,0,2000000,1
DDC (New),100000000,100,AND_op,1.55458,0,0,0,1
DDC (New),100000000,100,XOR_op,1.44988,0,0,2000000,1
DDC (New),100000000,100,NOT_op,0.261631,0,0,99000000,1
DDC (New),100000000,100,COMP_op,4.23856,0,0,99000000,1
