backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,0.476509,23775,1.902e-05,0,1
CRoaring,100000000,100,OR,0.115524,0,0,2000000,1
CRoaring,100000000,100,AND,4.405,0,0,0,1
CRoaring,100000000,100,XOR,0.472852,0,0,2000000,1
CRoaring,100000000,100,multi-OR,5.06561,0,0,100000000,1
CRoaring,100000000,100,OR_op,0.000657,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.00058,0,0,0,1
CRoaring,100000000,100,XOR_op,0.001584,0,0,2000000,1
CRoaring,100000000,100,NOT_op,0.072939,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,0.500147,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,0.493244,0,0,0,1
CRoaring,100000000,100,XOR_op_conv,0.505821,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,1.20685,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,0.071981,0,0,99000000,1
CRoaring,100000000,100,COMP_op,1.21388,0,0,0,1
