backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),100000000,100,load,15.3202,14598,1.16784e-05,0,1
DDC (New),100000000,100,OR,0.041362,0,0,2000000,1
DDC (New),100000000,100,AND,0.009948,0,0,0,1
DDC (New),100000000,100,XOR,0.008803,0,0,2000000,1
DDC (New),100000000,100,multi-OR,1.54755,0,0,100000000,1
DDC (New),100000000,100,OR_op,0.000989,0,0,2000000,1
DDC (New),100000000,100,AND_op,0.000696,0,0,0,1
DDC (New),100000000,100,XOR_op,0.000907,0,0,2000000,1
DDC (New),100000000,100,NOT_op,0.000301,0,0,99000000,1
DDC (New),100000000,100,COMP_op,0.119938,0,0,99000000,1
