backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),100000000,100,load,74.3424,60928024,0.0487424,0,1
WAH (FastBit),100000000,100,OR,4.53846,0,0,2000000,1
WAH (FastBit),100000000,100,AND,1.8339,0,0,0,1
WAH (FastBit),100000000,100,XOR,2.19913,0,0,2000000,1
WAH (FastBit),100000000,100,multi-OR,1323.48,0,0,100000000,1
WAH (FastBit),100000000,100,OR_op,3.00747,0,0,0,1
WAH (FastBit),100000000,100,AND_op,1.74361,0,0,0,1
WAH (FastBit),100000000,100,XOR_op,2.16348,0,0,0,1
WAH (FastBit),100000000,100,NOT_op,0.031881,0,0,0,1
WAH (FastBit),100000000,100,COMP_op,10.2278,0,0,0,1
