backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,100000000,100,load,520.245,904797088,0.723838,0,1
EWAH,100000000,100,OR,24.2387,0,0,2000000,1
EWAH,100000000,100,AND,15.7665,0,0,0,1
EWAH,100000000,100,XOR,24.38,0,0,2000000,1
EWAH,100000000,100,multi-OR,1398.12,0,0,100000000,1
EWAH,100000000,100,OR_op,19.9163,0,0,0,1
EWAH,100000000,100,AND_op,15.7371,0,0,0,1
EWAH,100000000,100,XOR_op,20.0492,0,0,0,1
EWAH,100000000,100,NOT_op,6.74304,0,0,0,1
EWAH,100000000,100,COMP_op,66.2598,0,0,0,1
