backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,100000000,100,load,33.0455,60921160,0.0487369,0,1
EWAH,100000000,100,OR,1.86705,0,0,2000000,1
EWAH,100000000,100,AND,0.905607,0,0,0,1
EWAH,100000000,100,XOR,1.88349,0,0,2000000,1
EWAH,100000000,100,multi-OR,810.255,0,0,100000000,1
EWAH,100000000,100,OR_op,1.40247,0,0,0,1
EWAH,100000000,100,AND_op,0.845617,0,0,0,1
EWAH,100000000,100,XOR_op,1.44627,0,0,0,1
EWAH,100000000,100,NOT_op,0.43027,0,0,0,1
EWAH,100000000,100,COMP_op,5.27917,0,0,0,1
