backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,100,load,12.2998,7803014,0.00624241,0,1
CRoaring,100000000,100,OR,7.91213,0,0,2000000,1
CRoaring,100000000,100,AND,0.719168,0,0,0,1
CRoaring,100000000,100,XOR,1.21734,0,0,2000000,1
CRoaring,100000000,100,multi-OR,102.347,0,0,100000000,1
CRoaring,100000000,100,OR_op,0.314767,0,0,2000000,1
CRoaring,100000000,100,AND_op,0.251212,0,0,0,1
CRoaring,100000000,100,XOR_op,0.412894,0,0,2000000,1
CRoaring,100000000,100,NOT_op,0.311858,0,0,99000000,1
CRoaring,100000000,100,OR_op_conv,1.08468,0,0,2000000,1
CRoaring,100000000,100,AND_op_conv,0.712345,0,0,0,1
CRoaring,100000000,100,XOR_op_conv,1.15584,0,0,2000000,1
CRoaring,100000000,100,NOT_op_conv,1.38787,0,0,99000000,1
CRoaring,100000000,100,COMP_op_native,1.3358,0,0,99000000,1
CRoaring,100000000,100,COMP_op,2.43919,0,0,0,1
