backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),100000000,100,load,139.353,20034139,0.0160273,0,1
DDC (New),100000000,100,OR,6.59382,0,0,2000000,1
DDC (New),100000000,100,AND,6.06948,0,0,0,1
DDC (New),100000000,100,XOR,6.23797,0,0,2000000,1
DDC (New),100000000,100,multi-OR,123.064,0,0,100000000,1
DDC (New),100000000,100,OR_op,1.39887,0,0,2000000,1
DDC (New),100000000,100,AND_op,1.18516,0,0,0,1
DDC (New),100000000,100,XOR_op,1.19581,0,0,2000000,1
DDC (New),100000000,100,NOT_op,0.163915,0,0,99000000,1
DDC (New),100000000,100,COMP_op,4.22674,0,0,99000000,1
