backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),100000000,100,load,839.966,598413828,0.478731,0,1
WAH (FastBit),100000000,100,OR,45.4659,0,0,2000000,1
WAH (FastBit),100000000,100,AND,21.9103,0,0,0,1
WAH (FastBit),100000000,100,XOR,30.3831,0,0,2000000,1
WAH (FastBit),100000000,100,multi-OR,601.563,0,0,100000000,1
WAH (FastBit),100000000,100,OR_op,31.4984,0,0,0,1
WAH (FastBit),100000000,100,AND_op,21.5395,0,0,0,1
WAH (FastBit),100000000,100,XOR_op,25.7367,0,0,0,1
WAH (FastBit),100000000,100,NOT_op,0.672764,0,0,0,1
WAH (FastBit),100000000,100,COMP_op,92.9243,0,0,0,1
