backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,100000000,328,load,11.5377,13526418,0.541057,0,1
CRoaring,100000000,328,OR,6.02353,0,0,50250648,1
CRoaring,100000000,328,AND,2.35715,0,0,249849,1
CRoaring,100000000,328,XOR,8.19528,0,0,50000799,1
CRoaring,100000000,328,OR_op,1.38947,0,0,50250648,1
CRoaring,100000000,328,AND_op,0.66338,0,0,249849,1
CRoaring,100000000,328,XOR_op,1.74357,0,0,50000799,1
CRoaring,100000000,328,NOT_op,1.17562,0,0,99499507,1
CRoaring,100000000,328,OR_op_conv,2.76223,0,0,50250648,1
CRoaring,100000000,328,AND_op_conv,1.60102,0,0,249849,1
CRoaring,100000000,328,XOR_op_conv,3.12365,0,0,50000799,1
CRoaring,100000000,328,NOT_op_conv,2.56987,0,0,99499507,1
CRoaring,100000000,328,COMP_op_native,4.82633,0,0,49749352,1
CRoaring,100000000,328,COMP_op,6.17914,0,0,0,1
