backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,12,load,21.3945,32806962,1.00124,0,1
CRoaring,21844315,12,OR,1.48764,0,0,3666013,1
CRoaring,21844315,12,AND,0.536744,0,0,0,1
CRoaring,21844315,12,XOR,1.68111,0,0,3666013,1
CRoaring,21844315,12,multi-OR,3.77345,0,0,21844315,1
CRoaring,21844315,12,OR_op,0.31429,0,0,3666013,1
CRoaring,21844315,12,AND_op,0.405436,0,0,0,1
CRoaring,21844315,12,XOR_op,0.326783,0,0,3666013,1
CRoaring,21844315,12,NOT_op,0.31886,0,0,20011159,1
CRoaring,21844315,12,OR_op_conv,0.620389,0,0,3666013,1
CRoaring,21844315,12,AND_op_conv,0.504696,0,0,0,1
CRoaring,21844315,12,XOR_op_conv,0.626135,0,0,3666013,1
CRoaring,21844315,12,NOT_op_conv,0.617928,0,0,20011159,1
CRoaring,21844315,12,COMP_op_native,1.08051,0,0,20011458,1
CRoaring,21844315,12,COMP_op,1.37884,0,0,0,1
