backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,21844315,12,load,17.6488,32750824,0.999522,0,1
EWAH,21844315,12,OR,2.12589,0,0,3666013,1
EWAH,21844315,12,AND,1.27912,0,0,0,1
EWAH,21844315,12,XOR,2.18366,0,0,3666013,1
EWAH,21844315,12,multi-OR,16.1288,0,0,21844315,1
EWAH,21844315,12,OR_op,1.23199,0,0,0,1
EWAH,21844315,12,AND_op,1.33875,0,0,0,1
EWAH,21844315,12,XOR_op,1.3069,0,0,0,1
EWAH,21844315,12,NOT_op,1.01347,0,0,0,1
EWAH,21844315,12,COMP_op,4.61471,0,0,0,1
