backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,21844315,17,load,2.15169,4258936,0.0917495,0,1
EWAH,21844315,17,OR,1.7324,0,0,13160055,1
EWAH,21844315,17,AND,0.735605,0,0,0,1
EWAH,21844315,17,XOR,1.72615,0,0,13160055,1
EWAH,21844315,17,multi-OR,8.04754,0,0,21844315,1
EWAH,21844315,17,OR_op,1.33318,0,0,0,1
EWAH,21844315,17,AND_op,0.690089,0,0,0,1
EWAH,21844315,17,XOR_op,1.37175,0,0,0,1
EWAH,21844315,17,NOT_op,0.7997,0,0,0,1
EWAH,21844315,17,COMP_op,3.38082,0,0,0,1
