backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),21844315,17,load,7.09353,2561190,0.0551753,0,1
DDC (New),21844315,17,OR,0.685491,0,0,13160055,1
DDC (New),21844315,17,AND,0.172659,0,0,0,1
DDC (New),21844315,17,XOR,0.716503,0,0,13160055,1
DDC (New),21844315,17,multi-OR,4.9504,0,0,21844315,1
DDC (New),21844315,17,OR_op,0.169858,0,0,13160055,1
DDC (New),21844315,17,AND_op,0.121887,0,0,0,1
DDC (New),21844315,17,XOR_op,0.169153,0,0,13160055,1
DDC (New),21844315,17,NOT_op,0.085232,0,0,11854872,1
DDC (New),21844315,17,COMP_op,0.725385,0,0,18673703,1
