backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),21844315,232,load,49.173,36389604,0.0574435,0,1
DDC (New),21844315,232,OR,1.62648,0,0,771958,1
DDC (New),21844315,232,AND,1.41064,0,0,0,1
DDC (New),21844315,232,XOR,1.36523,0,0,771958,1
DDC (New),21844315,232,multi-OR,60.8199,0,0,21844315,1
DDC (New),21844315,232,OR_op,0.303183,0,0,771958,1
DDC (New),21844315,232,AND_op,0.334682,0,0,0,1
DDC (New),21844315,232,XOR_op,0.302799,0,0,771958,1
DDC (New),21844315,232,NOT_op,0.072752,0,0,21457099,1
DDC (New),21844315,232,COMP_op,0.924817,0,0,21459573,1
