backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,325,load,9.24038,8487225,0.00956388,0,1
CRoaring,21844315,325,OR,2.14168,0,0,604196,1
CRoaring,21844315,325,AND,0.205424,0,0,0,1
CRoaring,21844315,325,XOR,0.547546,0,0,604196,1
CRoaring,21844315,325,multi-OR,32.0592,0,0,21844315,1
CRoaring,21844315,325,OR_op,0.129737,0,0,604196,1
CRoaring,21844315,325,AND_op,0.081101,0,0,0,1
CRoaring,21844315,325,XOR_op,0.247174,0,0,604196,1
CRoaring,21844315,325,NOT_op,0.153367,0,0,21541401,1
CRoaring,21844315,325,OR_op_conv,0.367355,0,0,604196,1
CRoaring,21844315,325,AND_op_conv,0.169147,0,0,0,1
CRoaring,21844315,325,XOR_op_conv,0.475439,0,0,604196,1
CRoaring,21844315,325,NOT_op_conv,0.661293,0,0,21541401,1
CRoaring,21844315,325,COMP_op_native,0.61956,0,0,21543033,1
CRoaring,21844315,325,COMP_op,1.15322,0,0,0,1
