backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),21844315,325,load,37.4716,11353888,0.0127942,0,1
DDC (New),21844315,325,OR,1.34398,0,0,604196,1
DDC (New),21844315,325,AND,1.53829,0,0,0,1
DDC (New),21844315,325,XOR,1.41518,0,0,604196,1
DDC (New),21844315,325,multi-OR,86.6838,0,0,21844315,1
DDC (New),21844315,325,OR_op,0.297612,0,0,604196,1
DDC (New),21844315,325,AND_op,0.465921,0,0,0,1
DDC (New),21844315,325,XOR_op,0.358679,0,0,604196,1
DDC (New),21844315,325,NOT_op,0.035691,0,0,21541401,1
DDC (New),21844315,325,COMP_op,0.90924,0,0,21543033,1
