backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,21844315,33,load,3.42511,6564864,0.0728557,0,1
EWAH,21844315,33,OR,1.63315,0,0,5648823,1
EWAH,21844315,33,AND,0.983605,0,0,0,1
EWAH,21844315,33,XOR,1.6879,0,0,5648823,1
EWAH,21844315,33,multi-OR,11.1417,0,0,21844315,1
EWAH,21844315,33,OR_op,1.27392,0,0,0,1
EWAH,21844315,33,AND_op,0.937975,0,0,0,1
EWAH,21844315,33,XOR_op,1.31387,0,0,0,1
EWAH,21844315,33,NOT_op,0.57292,0,0,0,1
EWAH,21844315,33,COMP_op,4.79572,0,0,0,1
