backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,21844315,232,load,71.0572,128153568,0.202299,0,1
EWAH,21844315,232,OR,4.51741,0,0,771958,1
EWAH,21844315,232,AND,3.12197,0,0,0,1
EWAH,21844315,232,XOR,4.95988,0,0,771958,1
EWAH,21844315,232,multi-OR,186.343,0,0,21844315,1
EWAH,21844315,232,OR_op,3.61265,0,0,0,1
EWAH,21844315,232,AND_op,3.05782,0,0,0,1
EWAH,21844315,232,XOR_op,3.80151,0,0,0,1
EWAH,21844315,232,NOT_op,1.40947,0,0,0,1
EWAH,21844315,232,COMP_op,11.5044,0,0,0,1
