backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),21844315,232,load,119.837,97532792,0.153962,0,1
WAH (FastBit),21844315,232,OR,6.21227,0,0,771958,1
WAH (FastBit),21844315,232,AND,6.70329,0,0,0,1
WAH (FastBit),21844315,232,XOR,4.73919,0,0,771958,1
WAH (FastBit),21844315,232,multi-OR,112.484,0,0,21844315,1
WAH (FastBit),21844315,232,OR_op,4.54875,0,0,0,1
WAH (FastBit),21844315,232,AND_op,4.82369,0,0,0,1
WAH (FastBit),21844315,232,XOR_op,3.61291,0,0,0,1
WAH (FastBit),21844315,232,NOT_op,0.159988,0,0,0,1
WAH (FastBit),21844315,232,COMP_op,10.1354,0,0,0,1
