backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,21844315,325,load,19.1982,33818896,0.038109,0,1
EWAH,21844315,325,OR,0.810186,0,0,604196,1
EWAH,21844315,325,AND,0.474796,0,0,0,1
EWAH,21844315,325,XOR,0.802146,0,0,604196,1
EWAH,21844315,325,multi-OR,92.202,0,0,21844315,1
EWAH,21844315,325,OR_op,0.637187,0,0,0,1
EWAH,21844315,325,AND_op,0.451536,0,0,0,1
EWAH,21844315,325,XOR_op,0.626434,0,0,0,1
EWAH,21844315,325,NOT_op,0.29399,0,0,0,1
EWAH,21844315,325,COMP_op,2.44523,0,0,0,1
