backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),21844315,33,load,3.74375,3674464,0.0407785,0,1
WAH (FastBit),21844315,33,OR,2.22768,0,0,5648823,1
WAH (FastBit),21844315,33,AND,0.95567,0,0,0,1
WAH (FastBit),21844315,33,XOR,1.35653,0,0,5648823,1
WAH (FastBit),21844315,33,multi-OR,12.4861,0,0,21844315,1
WAH (FastBit),21844315,33,OR_op,1.47589,0,0,0,1
WAH (FastBit),21844315,33,AND_op,0.897515,0,0,0,1
WAH (FastBit),21844315,33,XOR_op,1.01381,0,0,0,1
WAH (FastBit),21844315,33,NOT_op,0.024594,0,0,0,1
WAH (FastBit),21844315,33,COMP_op,4.65193,0,0,0,1
