backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),21844315,12,load,17.4841,25950218,0.791975,0,1
DDC (New),21844315,12,OR,1.51248,0,0,3666013,1
DDC (New),21844315,12,AND,1.45191,0,0,0,1
DDC (New),21844315,12,XOR,1.36438,0,0,3666013,1
DDC (New),21844315,12,multi-OR,4.64093,0,0,21844315,1
DDC (New),21844315,12,OR_op,0.328863,0,0,3666013,1
DDC (New),21844315,12,AND_op,0.36955,0,0,0,1
DDC (New),21844315,12,XOR_op,0.343709,0,0,3666013,1
DDC (New),21844315,12,NOT_op,0.210314,0,0,20011159,1
DDC (New),21844315,12,COMP_op,0.984859,0,0,20011458,1
