backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,17,load,4.08785,5743312,0.123727,0,1
CRoaring,21844315,17,OR,2.60949,0,0,13160055,1
CRoaring,21844315,17,AND,0.916138,0,0,0,1
CRoaring,21844315,17,XOR,1.80153,0,0,13160055,1
CRoaring,21844315,17,multi-OR,4.25272,0,0,21844315,1
CRoaring,21844315,17,OR_op,0.477411,0,0,13160055,1
CRoaring,21844315,17,AND_op,0.648525,0,0,0,1
CRoaring,21844315,17,XOR_op,0.594712,0,0,13160055,1
CRoaring,21844315,17,NOT_op,0.739946,0,0,11854872,1
CRoaring,21844315,17,OR_op_conv,1.17946,0,0,13160055,1
CRoaring,21844315,17,AND_op_conv,0.747335,0,0,0,1
CRoaring,21844315,17,XOR_op_conv,1.27471,0,0,13160055,1
CRoaring,21844315,17,NOT_op_conv,1.66137,0,0,11854872,1
CRoaring,21844315,17,COMP_op_native,1.38061,0,0,18673703,1
CRoaring,21844315,17,COMP_op,1.63485,0,0,0,1
