backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,21844315,232,load,28.2588,43894046,0.0692898,0,1
CRoaring,21844315,232,OR,3.40384,0,0,771958,1
CRoaring,21844315,232,AND,0.470975,0,0,0,1
CRoaring,21844315,232,XOR,1.83077,0,0,771958,1
CRoaring,21844315,232,multi-OR,72.3903,0,0,21844315,1
CRoaring,21844315,232,OR_op,0.709281,0,0,771958,1
CRoaring,21844315,232,AND_op,0.318385,0,0,0,1
CRoaring,21844315,232,XOR_op,0.784692,0,0,771958,1
CRoaring,21844315,232,NOT_op,0.471746,0,0,21457099,1
CRoaring,21844315,232,OR_op_conv,1.17822,0,0,771958,1
CRoaring,21844315,232,AND_op_conv,0.420019,0,0,0,1
CRoaring,21844315,232,XOR_op_conv,1.24747,0,0,771958,1
CRoaring,21844315,232,NOT_op_conv,0.769031,0,0,21457099,1
CRoaring,21844315,232,COMP_op_native,2.4786,0,0,21459573,1
CRoaring,21844315,232,COMP_op,2.82739,0,0,0,1
