backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2528312,6,load,0.540052,788278,0.415707,0,1
CRoaring,2528312,6,OR,0.172867,0,0,2206089,1
CRoaring,2528312,6,AND,0.017249,0,0,0,1
CRoaring,2528312,6,XOR,0.12961,0,0,2206089,1
CRoaring,2528312,6,multi-OR,0.143556,0,0,2528312,1
CRoaring,2528312,6,OR_op,0.011912,0,0,2206089,1
CRoaring,2528312,6,AND_op,0.00365,0,0,0,1
CRoaring,2528312,6,XOR_op,0.011664,0,0,2206089,1
CRoaring,2528312,6,NOT_op,0.075211,0,0,985048,1
CRoaring,2528312,6,OR_op_conv,0.026237,0,0,2206089,1
CRoaring,2528312,6,AND_op_conv,0.009835,0,0,0,1
CRoaring,2528312,6,XOR_op_conv,0.026787,0,0,2206089,1
CRoaring,2528312,6,NOT_op_conv,0.124869,0,0,985048,1
CRoaring,2528312,6,COMP_op_native,0.034454,0,0,1865487,1
CRoaring,2528312,6,COMP_op,0.050837,0,0,0,1
