backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,2609129,2,load,0.032252,596,0.000913715,0,1
CRoaring,2609129,2,OR,0.148,0,0,2609129,1
CRoaring,2609129,2,AND,0.01142,0,0,0,1
CRoaring,2609129,2,XOR,0.017981,0,0,2609129,1
CRoaring,2609129,2,OR_op,0.000809,0,0,2609129,1
CRoaring,2609129,2,AND_op,0.000107,0,0,0,1
CRoaring,2609129,2,XOR_op,0.000816,0,0,2609129,1
CRoaring,2609129,2,NOT_op,0.00267,0,0,1274246,1
CRoaring,2609129,2,OR_op_conv,0.015755,0,0,2609129,1
CRoaring,2609129,2,AND_op_conv,0.006859,0,0,0,1
CRoaring,2609129,2,XOR_op_conv,0.015744,0,0,2609129,1
CRoaring,2609129,2,NOT_op_conv,0.013719,0,0,1274246,1
CRoaring,2609129,2,COMP_op_native,0.005381,0,0,0,1
CRoaring,2609129,2,COMP_op,0.013206,0,0,0,1
