backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,14835720,71,load,0.994903,1455192,0.0110521,0,1
EWAH,14835720,71,OR,0.002298,0,0,4570628,1
EWAH,14835720,71,AND,0.001127,0,0,0,1
EWAH,14835720,71,XOR,0.001568,0,0,4570628,1
EWAH,14835720,71,multi-OR,1.64226,0,0,14835720,1
EWAH,14835720,71,OR_op,0.000102,0,0,0,1
EWAH,14835720,71,AND_op,9.3e-05,0,0,0,1
EWAH,14835720,71,XOR_op,0.000114,0,0,0,1
EWAH,14835720,71,NOT_op,9.7e-05,0,0,0,1
EWAH,14835720,71,COMP_op,0.000371,0,0,0,1
