backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),2528312,132,load,12.2263,10450892,0.250518,0,1
WAH (FastBit),2528312,132,OR,0.583156,0,0,324324,1
WAH (FastBit),2528312,132,AND,0.565868,0,0,0,1
WAH (FastBit),2528312,132,XOR,0.2944,0,0,324324,1
WAH (FastBit),2528312,132,multi-OR,7.05421,0,0,2456218,1
WAH (FastBit),2528312,132,OR_op,0.329853,0,0,0,1
WAH (FastBit),2528312,132,AND_op,0.310094,0,0,0,1
WAH (FastBit),2528312,132,XOR_op,0.152743,0,0,0,1
WAH (FastBit),2528312,132,NOT_op,0.016872,0,0,0,1
WAH (FastBit),2528312,132,COMP_op,0.743129,0,0,0,1
