backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,36244344,3,load,0.030967,203,1.49357e-05,0,1
CRoaring,36244344,3,OR,0.062105,0,0,18491,1
CRoaring,36244344,3,AND,1.60108,0,0,0,1
CRoaring,36244344,3,XOR,0.164506,0,0,18491,1
CRoaring,36244344,3,multi-OR,0.002756,0,0,26216,1
CRoaring,36244344,3,OR_op,0.000195,0,0,18491,1
CRoaring,36244344,3,AND_op,0.000131,0,0,0,1
CRoaring,36244344,3,XOR_op,0.000293,0,0,18491,1
CRoaring,36244344,3,NOT_op,0.035202,0,0,36234095,1
CRoaring,36244344,3,OR_op_conv,0.16271,0,0,18491,1
CRoaring,36244344,3,AND_op_conv,0.162282,0,0,0,1
CRoaring,36244344,3,XOR_op_conv,0.16257,0,0,18491,1
CRoaring,36244344,3,NOT_op_conv,0.381447,0,0,36234095,1
CRoaring,36244344,3,COMP_op_native,0.037084,0,0,36236102,1
CRoaring,36244344,3,COMP_op,0.381425,0,0,0,1
