backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,6,load,0.441889,530308,0.279664,0,1
DDC (New),2528312,6,OR,0.103792,0,0,2206089,1
DDC (New),2528312,6,AND,0.014264,0,0,0,1
DDC (New),2528312,6,XOR,0.087633,0,0,2206089,1
DDC (New),2528312,6,multi-OR,0.232142,0,0,2528312,1
DDC (New),2528312,6,OR_op,0.012599,0,0,2206089,1
DDC (New),2528312,6,AND_op,0.003976,0,0,0,1
DDC (New),2528312,6,XOR_op,0.011866,0,0,2206089,1
DDC (New),2528312,6,NOT_op,0.007377,0,0,985048,1
DDC (New),2528312,6,COMP_op,0.041796,0,0,1865487,1
