backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,14835720,71,load,0.888818,931950,0.00707808,0,1
CRoaring,14835720,71,OR,0.360637,0,0,4570628,1
CRoaring,14835720,71,AND,0.488231,0,0,0,1
CRoaring,14835720,71,XOR,0.06393,0,0,4570628,1
CRoaring,14835720,71,multi-OR,1.74774,0,0,14835720,1
CRoaring,14835720,71,OR_op,0.001342,0,0,4570628,1
CRoaring,14835720,71,AND_op,9.6e-05,0,0,0,1
CRoaring,14835720,71,XOR_op,0.001455,0,0,4570628,1
CRoaring,14835720,71,NOT_op,0.016894,0,0,11799001,1
CRoaring,14835720,71,OR_op_conv,0.057938,0,0,4570628,1
CRoaring,14835720,71,AND_op_conv,0.041838,0,0,0,1
CRoaring,14835720,71,XOR_op_conv,0.057915,0,0,4570628,1
CRoaring,14835720,71,NOT_op_conv,0.103274,0,0,11799001,1
CRoaring,14835720,71,COMP_op_native,0.019821,0,0,13301811,1
CRoaring,14835720,71,COMP_op,0.113559,0,0,0,1
