backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),14835720,71,load,2.71214,613126,0.00465664,0,1
DDC (New),14835720,71,OR,0.025458,0,0,4570628,1
DDC (New),14835720,71,AND,0.003927,0,0,0,1
DDC (New),14835720,71,XOR,0.008356,0,0,4570628,1
DDC (New),14835720,71,multi-OR,0.809166,0,0,14835720,1
DDC (New),14835720,71,OR_op,0.000346,0,0,4570628,1
DDC (New),14835720,71,AND_op,7.1e-05,0,0,0,1
DDC (New),14835720,71,XOR_op,0.000335,0,0,4570628,1
DDC (New),14835720,71,NOT_op,0.000311,0,0,11799001,1
DDC (New),14835720,71,COMP_op,0.021323,0,0,13301811,1
