backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
CRoaring,4523930,3,load,0.024335,57,3.35991e-05,0,1
CRoaring,4523930,3,OR,0.036795,0,0,1043,1
CRoaring,4523930,3,AND,0.179986,0,0,0,1
CRoaring,4523930,3,XOR,0.011945,0,0,1043,1
CRoaring,4523930,3,multi-OR,0.000984,0,0,1505,1
CRoaring,4523930,3,OR_op,8.1e-05,0,0,1043,1
CRoaring,4523930,3,AND_op,6e-05,0,0,0,1
CRoaring,4523930,3,XOR_op,8.4e-05,0,0,1043,1
CRoaring,4523930,3,NOT_op,0.00312,0,0,4523390,1
CRoaring,4523930,3,OR_op_conv,0.011765,0,0,1043,1
CRoaring,4523930,3,AND_op_conv,0.011728,0,0,0,1
CRoaring,4523930,3,XOR_op_conv,0.011764,0,0,1043,1
CRoaring,4523930,3,NOT_op_conv,0.029064,0,0,4523390,1
CRoaring,4523930,3,COMP_op_native,0.002483,0,0,4523427,1
CRoaring,4523930,3,COMP_op,0.028112,0,0,0,1
