backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
WAH (FastBit),4523930,3,load,0.042332,84,4.95145e-05,0,1
WAH (FastBit),4523930,3,OR,0.006221,0,0,1043,1
WAH (FastBit),4523930,3,AND,0.001777,0,0,0,1
WAH (FastBit),4523930,3,XOR,0.001589,0,0,1043,1
WAH (FastBit),4523930,3,multi-OR,0.00161,0,0,1505,1
WAH (FastBit),4523930,3,OR_op,0.000405,0,0,0,1
WAH (FastBit),4523930,3,AND_op,0.000298,0,0,0,1
WAH (FastBit),4523930,3,XOR_op,0.000303,0,0,0,1
WAH (FastBit),4523930,3,NOT_op,0.000138,0,0,0,1
WAH (FastBit),4523930,3,COMP_op,0.001246,0,0,0,1
