backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
EWAH,2963664,22,load,3.20946,5854216,0.718302,0,1
EWAH,2963664,22,OR,0.380868,0,0,1040180,1
EWAH,2963664,22,AND,0.263669,0,0,0,1
EWAH,2963664,22,XOR,0.38212,0,0,1040180,1
EWAH,2963664,22,multi-OR,6.87075,0,0,2963664,1
EWAH,2963664,22,OR_op,0.230895,0,0,0,1
EWAH,2963664,22,AND_op,0.246477,0,0,0,1
EWAH,2963664,22,XOR_op,0.246175,0,0,0,1
EWAH,2963664,22,NOT_op,0.161795,0,0,0,1
EWAH,2963664,22,COMP_op,0.897336,0,0,0,1
