backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,132,load,4.87758,4010490,0.0961353,0,1
DDC (New),2528312,132,OR,0.178509,0,0,324324,1
DDC (New),2528312,132,AND,0.160679,0,0,0,1
DDC (New),2528312,132,XOR,0.16324,0,0,324324,1
DDC (New),2528312,132,multi-OR,3.1886,0,0,2456218,1
DDC (New),2528312,132,OR_op,0.027966,0,0,324324,1
DDC (New),2528312,132,AND_op,0.032135,0,0,0,1
DDC (New),2528312,132,XOR_op,0.02984,0,0,324324,1
DDC (New),2528312,132,NOT_op,0.011528,0,0,2364005,1
DDC (New),2528312,132,COMP_op,0.075081,0,0,2368295,1
